Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],L>200 (S1),19 max (S1) [µg/m3],Perc. 99.8 (S1) [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,zachodniopomorskie,PL3202,miasto Koszalin,ZpKoszArKraj,NO2,1g,22.858976016,0.4233,169.764,0,100.739,101.818,8631,98.52,1.01
2017,zachodniopomorskie,PL3203,strefa zachodniopomorska,ZpSzczecPrze,NO2,1g,11.668183213,0.40555,91.9451,0,62.2621,62.3225,8614,98.33,1
2017,zachodniopomorskie,PL3203,strefa zachodniopomorska,ZpWiduBulRyb,NO2,1g,8.842320955,0.09932,70.8927,0,39.2746,39.3352,8554,97.64,1.02
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocAlWisn,NO2,1g,45.566711034,0.1588,183.68,0,136.836,137.05,8664,98.9,1
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocBartni,NO2,1g,16.173462458,0.01912,95.9415,0,62.9802,63.1629,8690,99.2,1
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,NO2,1g,21.793479052,0.26024,116.687,0,87.2897,88.4324,8452,96.48,0.97
2018,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,NO2,1g,21.317764376,1.89129,123.64,0,93.3391,93.7411,8401,95.9,0.94
2018,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,NO2,1g,15.207159213,0.17049,93.2759,0,71.6434,71.7834,8652,98.76,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,NO2,1g,6.079853894,0,32.4466,0,25.9039,26.1238,8548,97.57,1.02
2018,dolnośląskie,PL0204,strefa dolnośląska,DsDzialoszyn,NO2,1g,10.425220702,0,70.8656,0,41.1032,41.398,8458,96.55,0.96
2018,dolnośląskie,PL0204,strefa dolnośląska,DsDziePilsud,NO2,1g,17.337447291,1.40392,87.9003,0,78.2936,78.393,8633,98.55,1.02
2018,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,NO2,1g,11.955489132,0,68.3328,0,55.0805,55.0879,8664,98.9,1
2018,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,NO2,1g,15.661652144,0,91.5651,0,72.7627,73.7209,8484,96.84,1.04
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLadekMOB,NO2,1g,8.035901335,0,52.7543,0,37.1258,38.505,7499,85.6,1.38
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLubanMOB,NO2,1g,19.076952471,2.43851,90.6121,0,73.1428,74.0564,7883,89.98,1.23
2018,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,NO2,1g,17.127613276,1.37542,89.7145,0,68.7765,69.4558,7524,85.89,1.26
2018,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,NO2,1g,8.935050147,0,64.2528,0,36.9616,36.9908,8557,97.68,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,NO2,24g,3.965753425,1.6,11.2,,,,365,100,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsZabkPowWar,NO2,1g,14.587029793,0,82.5857,0,61.0029,61.6546,8637,98.59,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,NO2,1g,17.010739467,0,94.8564,0,75.8039,77.3877,8579,97.93,1.01
2018,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,NO2,1g,28.196657861,1.3,113.8,0,98.7,99.2,8707,99.39,1
2018,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,NO2,1g,24.55728022,4.5,106.2,0,89.8,90,8736,99.72,1
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,NO2,1g,20.3118736,1,122,0,86,86,8481,96.81,0.95
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruStorczMOB,NO2,1g,13.778771094,0.1,88.1,0,68.4,69.1,7763,88.61,0.94
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruWSikor,NO2,1g,15.023174824,0,118.5,0,86.8,87.5,8643,98.66,1.02
2018,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,NO2,1g,27.635545621,0.1,131.1,0,97.1,97.4,8724,99.58,1
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,NO2,1g,9.764467473,0.5,65.8,0,56,56.2,8685,99.14,1.02
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,NO2,1g,21.225466714,1.3,92.4,0,76.3,76.6,8517,97.22,1.05
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,NO2,1g,10.549588719,0,121.1,0,71,72.2,8510,97.14,0.98
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,NO2,1g,8.411903309,0.8,60.9,0,40.7,40.8,8191,93.5,1.1
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,NO2,1g,5.183876878,0,35,0,25.9,26.7,8187,93.45,1.04
2018,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,NO2,1g,21.645149383,0.2,128.2,0,100,100.7,8669,98.96,1.02
2018,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,NO2,1g,14.980632955,0.1,101.5,0,83.2,84.2,8721,99.55,1
2018,lubelskie,PL0602,strefa lubelska,LbFlorianRPN,NO2,1g,5.557719525,0.15304,42.21991,0,28.46544,29.6515,7881,89.96,1.25
2018,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,NO2,24g,6.525690608,0.3,29.9,,,,362,99.17,1
2018,lubelskie,PL0602,strefa lubelska,LbPulaKarpin,NO2,1g,10.265990203,0,90.8,0,63.7,64.4,8574,97.87,1.04
2018,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,NO2,1g,18.121661617,0.9,128.8,0,80.1,81.4,8582,97.96,1.01
2018,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,NO2,1g,21.983683729,2.50577,120.496,0,99.5462,101.58,7972,91,0.85
2018,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,NO2,1g,15.160947793,0.04514,121.706,0,90.5332,90.9719,8618,98.37,1
2018,lubuskie,PL0803,strefa lubuska,LuSmolBytnic,NO2,1g,7.977614183,0.10134,38.1418,0,24.3295,24.4014,8673,99,1.02
2018,lubuskie,PL0803,strefa lubuska,LuSulecDudka,NO2,1g,9.276826501,-0.14446,55.4921,0,43.8735,44.4965,8567,97.79,1.02
2018,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,NO2,1g,14.043565584,0.01012,96.317,0,70.829,70.991,8481,96.81,0.97
2018,lubuskie,PL0803,strefa lubuska,LuZarySzyman,NO2,1g,15.476541761,0.66123,119.872,0,78.3164,78.3439,8612,98.31,1.01
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,NO2,1g,18.611019984,2.4,98.4,0,76.7,77.4,8657,98.82,1
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,NO2,1g,24.331367816,2.4,130.4,0,93.8,94.6,8700,99.31,1.01
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzJanPaw,NO2,1g,32.522933933,1.4,174.8,0,119.7,119.7,8446,96.41,0.98
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKonsta,NO2,1g,19.929913039,1.2,99.9,0,76.9,77.3,8204,93.65,1.02
2018,łódzkie,PL1001,Aglomeracja Łódzka,LdZgieMielcz,NO2,1g,17.601027761,0.9,97.2,0,72.4,72.8,8465,96.63,1.01
2018,łódzkie,PL1002,strefa łódzka,LdGajewUjWod,NO2,1g,10.722144231,1,56,0,41.1,41.6,8307,94.82,1.07
2018,łódzkie,PL1002,strefa łódzka,LdParzniUjWo,NO2,1g,13.219761242,1,73.9,0,61.8,62.9,8628,98.49,1.02
2018,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,NO2,1g,18.846909236,0.5,115.5,0,84.3,84.4,8450,96.46,0.96
2018,łódzkie,PL1002,strefa łódzka,LdRadomsRoln,NO2,1g,20.153452144,2.36,116.2,0,83.7,83.7,8557,97.68,0.99
2018,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,NO2,1g,60.816944612,5.33448,193.276,0,150.68,150.962,8613,98.32,1
2018,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,NO2,1g,31.943091991,1.57499,143.013,0,119.949,120.431,8406,95.95,1
2018,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,NO2,1g,27.03710409,2.63313,111.223,0,93.2392,93.4171,8587,98.02,0.98
2018,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakDietla,NO2,1g,41.118823376,6.01643,155.349,0,127.318,127.781,8605,98.23,0.99
2018,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,NO2,1g,19.615121778,1.05744,114.415,0,87.6487,87.6705,8616,98.35,1.02
2018,małopolskie,PL1202,miasto Tarnów,MpTarRoSitko,NO2,1g,30.185442375,1.91342,163.33,0,111.162,112.035,8698,99.29,1
2018,małopolskie,PL1203,strefa małopolska,MpKaszowLisz,NO2,1g,18.733641285,1.31647,101.1,0,74.6219,76.6165,8592,98.08,1.03
2018,małopolskie,PL1203,strefa małopolska,MpNoSaczNadb,NO2,1g,24.86866963,2.4111,130.791,0,98.8979,99.6408,8674,99.01,1
2018,małopolskie,PL1203,strefa małopolska,MpSkawOsOgro,NO2,1g,22.025200482,1.5403,125.642,0,77.7862,78.1525,8651,98.75,1.01
2018,małopolskie,PL1203,strefa małopolska,MpSzarowSpok,NO2,1g,16.407177005,1.01671,95.7686,0,65.772,66.6312,8664,98.9,1
2018,małopolskie,PL1203,strefa małopolska,MpSzymbaGorl,NO2,1g,5.79087862,1,65.5779,0,33.8621,34.354,8659,98.84,1
2018,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,NO2,1g,15.498282835,1.06287,84.5809,0,64.105,64.1862,8646,98.69,1
2018,małopolskie,PL1203,strefa małopolska,MpZakopaSien,NO2,1g,20.504940438,1,138.562,0,100.868,101.81,8637,98.59,0.99
2018,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAlNiepo,NO2,1g,50.31168396,3.44,257.58,5,168.78,169.98,8746,99.84,1.01
2018,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarKondrat,NO2,1g,26.233049489,2.48,130.31,0,102.06,102.6,8608,98.26,1.01
2018,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarWokalna,NO2,1g,26.737672248,1.12,175.08089,0,120.6,121.1,8626,98.47,0.99
2018,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,NO2,1g,15.668138756,0.5877,146.5332,0,80.22105,82.6698,8422,96.14,1
2018,mazowieckie,PL1402,miasto Płock,MzPlocMiReja,NO2,1g,18.920971991,2.2,122.9,0,91.59,91.8,8531,97.38,1
2018,mazowieckie,PL1403,miasto Radom,MzRadTochter,NO2,1g,23.168637557,3.45,113.68,0,89.89,90.15,8650,98.74,1.02
2018,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,NO2,1g,10.612310109,0.78619,76.191338,0,51.491318,53.765926,8640,98.63,0.98
2018,mazowieckie,PL1404,strefa mazowiecka,MzGranicaKPN,NO2,1g,8.039173145,0,48.6,0,36.79,37.41,8144,92.96,1.08
2018,mazowieckie,PL1404,strefa mazowiecka,MzGutyDuCzer,NO2,1g,4.239480674,-0.04,44.26444565,0,29.39024517,30.53,8667,98.93,1.01
2018,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,NO2,1g,16.21788482,1.9,97.5,0,69.91,70.4,8439,96.33,1.04
2018,mazowieckie,PL1404,strefa mazowiecka,MzLegZegrzyn,NO2,1g,15.876269439,0.1,94.4,0,69.72,70.77,8675,99.02,1.01
2018,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,NO2,1g,16.066559393,1.76,95.34241938,0,72.24991938,72.76,8531,97.38,1.02
2018,mazowieckie,PL1404,strefa mazowiecka,MzPiasPulask,NO2,1g,25.336764283,3.71,132.61,0,96.29785507,96.82,8531,97.38,1
2018,opolskie,PL1601,miasto Opole,OpOpoleOsAKr,NO2,1g,15.555222772,1.26515,109.23,0,66.8536,68.1194,8457,96.54,0.94
2018,opolskie,PL1602,strefa opolska,OpKKozBSmial,NO2,1g,17.076150164,1.22262,94.2781,0,71.11,71.4127,8668,98.94,1
2018,opolskie,PL1602,strefa opolska,OpZdziePiast,NO2,1g,16.234038457,0.4,87.346,0,63.6303,64.043,8667,98.93,1.01
2018,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,NO2,1g,18.080033381,0.2937,134.387,0,88.0683,88.7051,8695,99.25,1
2018,podkarpackie,PL1802,strefa podkarpacka,PkJasloSikor,NO2,1g,11.128946083,0.10624,67.2321,0,51.9776,52.2738,8613,98.32,1.02
2018,podkarpackie,PL1802,strefa podkarpacka,PkKrempnaMPN,NO2,1g,5.08663871,0.24177,41.8691,0,24.2633,24.3085,8636,98.58,1.01
2018,podkarpackie,PL1802,strefa podkarpacka,PkMielBierna,NO2,1g,17.550035225,2.45055,111.222,0,69.361,69.6472,8564,97.76,1.01
2018,podkarpackie,PL1802,strefa podkarpacka,PkNiskoSzkla,NO2,1g,11.17163587,0.0308,71.0761,0,58.4822,58.6675,8698,99.29,1
2018,podkarpackie,PL1802,strefa podkarpacka,PkPrzemGrunw,NO2,1g,14.083210728,0.00222,93.5781,0,71.3405,71.5752,8686,99.15,1.02
2018,podlaskie,PL2001,Aglomeracja Białostocka,PdBialWaszyn,NO2,1g,14.043935558,0,126.7,0,79.3,80.3,8690,99.2,1.01
2018,podlaskie,PL2002,strefa podlaska,PdAugustoZdrMOB,NO2,1g,11.478061661,0.5,102,0,68,69.6,7006,79.97,0.65
2018,podlaskie,PL2002,strefa podlaska,PdBorsukowiz,NO2,1g,3.482215234,0,26.4,0,19.5,19.5,8586,98.01,1.01
2018,podlaskie,PL2002,strefa podlaska,PdLomSikorsk,NO2,1g,14.497349093,0,102.1,0,81.3,82.3,8714,99.47,1
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaKacze02,NO2,1g,17.03052348,1.95998,96.0801,0,77.2899,78.2034,8235,94,0.92
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaLeczk08,NO2,1g,17.856977097,1.96401,109.132,0,86.498,87.0148,8503,97.06,1.01
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaOstrz05,NO2,1g,16.502535456,2.0772,132.149,0,76.7257,77.9447,8172,93.28,1.02
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaPoWie01,NO2,1g,19.358919713,1.96506,105.076,0,87.3734,89.5485,8648,98.72,1.01
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaWyzwo03,NO2,1g,17.39145402,0.90199,101.749,0,82.2406,85.506,7376,84.2,1.35
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyPoreb04,NO2,1g,10.863844682,1.91708,101.142,0,63.3096,65.8972,6155,70.26,1.22
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdySzaf09N,NO2,1g,18.082682537,1.85685,150.862,0,93.034,97.796,7232,82.55,0.88
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyWendy10,NO2,1g,22.036824454,2.03044,161.785,0,93.6807,94.1642,8500,97.03,0.99
2018,pomorskie,PL2201,Aglomeracja Trójmiejska,PmSopBitPl06,NO2,1g,14.68374222,1.92904,104.819,0,70.7752,71.3182,8557,97.68,1
2018,pomorskie,PL2202,strefa pomorska,PmKosTargo12,NO2,1g,16.786518643,0.9,123.638,0,85.6059,86.071,8520,97.26,1.01
2018,pomorskie,PL2202,strefa pomorska,PmLebaRabkaE,NO2,24g,5.20813253,0.3,21.3,,,,332,90.95,0.84
2018,pomorskie,PL2202,strefa pomorska,PmLebMalcz16,NO2,1g,12.272187188,0.70356,73.8971,0,57.8766,58.7578,8465,96.63,1.02
2018,pomorskie,PL2202,strefa pomorska,PmLinieKos17,NO2,1g,7.608853606,0.04072,36.5085,0,26.9425,29.4134,2870,32.76,0.34
2018,pomorskie,PL2202,strefa pomorska,PmMalMicki15,NO2,1g,17.104329149,1.47989,99.5536,0,69.0792,69.2156,7840,89.49,0.86
2018,pomorskie,PL2202,strefa pomorska,PmSlupKniazi,NO2,1g,13.727322643,0.99051,88.6255,0,58.5656,59.5145,8252,94.2,0.95
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlDabro1000L,NO2,1g,26.936823665,1.98051,140.757,0,98.1212,99.156,8746,99.84,1
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlGliwicMewy,NO2,1g,23.3038063,0.91723,98.399,0,86.9031,87.0427,8713,99.46,1
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoKossut,NO2,1g,29.676525369,2.88075,118.499,0,104.004,105.131,8709,99.41,1
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoPlebA4,NO2,1g,55.179229554,2.40147,173.371,0,152.204,152.956,8703,99.34,1.01
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlSosnoLubel,NO2,1g,22.304093322,0.54162,118.383,0,80.8755,81.9425,8724,99.58,1
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlTychyTolst,NO2,1g,23.348948363,1.75692,95.6133,0,81.7736,82.3907,8683,99.12,1.01
2018,śląskie,PL2401,Aglomeracja Górnośląska,SlZabSkloCur,NO2,1g,23.209367282,0.46578,113.049,0,89.3679,89.8305,8722,99.56,1
2018,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlRybniBorki,NO2,1g,22.191111235,1.16262,101.065,0,81.4728,81.5213,8677,99.05,0.99
2018,śląskie,PL2403,miasto Bielsko-Biała,SlBielPartyz,NO2,1g,32.361458723,1.78793,161.775,0,113.898,116.387,8465,96.63,1.07
2018,śląskie,PL2404,miasto Częstochowa,SlCzestoArmK,NO2,1g,37.335242543,4.17661,155.902,0,116.32,116.623,8662,98.88,1.03
2018,śląskie,PL2404,miasto Częstochowa,SlCzestoBacz,NO2,1g,18.986163531,1.52907,108.772,0,81.354,81.5075,8670,98.97,0.99
2018,śląskie,PL2405,strefa śląska,SlCiesMickie,NO2,1g,13.689428383,0.16408,106.954,0,72.7792,73.8866,8742,99.79,1
2018,śląskie,PL2405,strefa śląska,SlUstronSana,NO2,1g,14.534549258,1.06996,127.612,0,88.2995,90.9272,8168,93.24,0.87
2018,śląskie,PL2405,strefa śląska,SlWodzGalczy,NO2,1g,21.063310483,1.10246,93.7539,0,84.5264,84.9274,8746,99.84,1
2018,śląskie,PL2405,strefa śląska,SlZlotPotLes,NO2,1g,8.979528805,0.49446,62.4496,0,44.0163,45.1922,8584,97.99,1.03
2018,śląskie,PL2405,strefa śląska,SlZywieKoper,NO2,1g,16.692421495,0.69597,146.951,0,99.4516,99.5732,8702,99.33,1
2018,świętokrzyskie,PL2601,miasto Kielce,SkKielJagiel,NO2,1g,28.501196382,3.3,113.7,0,89.9,99,3427,39.12,0.59
2018,świętokrzyskie,PL2601,miasto Kielce,SkKielTargow,NO2,1g,25.568429451,2.2,132.6,0,101.5,112.1,4387,50.07,1
2018,świętokrzyskie,PL2602,strefa świętokrzyska,SkMaloSlonec,NO2,1g,11.201308102,0.2,77.1,0,47.4,47.5,8455,96.51,0.99
2018,świętokrzyskie,PL2602,strefa świętokrzyska,SkNowiParkow,NO2,1g,19.03988821,2,114,0,87,88,8677,99.05,1.01
2018,świętokrzyskie,PL2602,strefa świętokrzyska,SkPolaRuszcz,NO2,1g,7.518481205,0,56.4,0,46.7,46.7,8566,97.78,1.04
2018,świętokrzyskie,PL2602,strefa świętokrzyska,SkSwietKrzyz,NO2,1g,2.840049272,0,43.53,0,26.99,27.02,8727,99.62,1.01
2018,warmińsko-mazurskie,PL2801,miasto Olsztyn,WmOlsPuszkin,NO2,1g,14.75189202,0,106.342,0,82.0216,82.0333,8709,99.41,1
2018,warmińsko-mazurskie,PL2802,miasto Elbląg,WmElbBazynsk,NO2,1g,13.375692676,0,115.593,0,69.446,70.0769,8665,98.91,1
2018,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmElkStadion,NO2,1g,11.724485505,0.5371,105.848,0,80.0309,80.5586,8741,99.78,1
2018,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmGoldJacwie,NO2,1g,9.628449062,0,83.0445,0,58.1742,58.1779,8750,99.88,1.01
2018,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmOstrPilsud,NO2,1g,15.061309232,0,100.896,0,83.4694,83.8109,8748,99.86,1.01
2018,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,NO2,1g,3.922012542,0.00697,28.2979,0,22.2668,22.3682,8417,96.08,0.97
2018,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznDabrow,NO2,1g,23.500860968,1.20881,142.037,0,118.405,118.931,8512,97.16,0.97
2018,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznPolank,NO2,1g,21.497762055,1.95636,138.294,0,98.5715,99.1478,8659,98.84,1.01
2018,wielkopolskie,PL3002,miasto Kalisz,WpKaliSawick,NO2,1g,18.17714835,1.33342,107.363,0,74.5846,76.232,6722,76.73,0.56
2018,wielkopolskie,PL3003,strefa wielkopolska,WpBoroDrapal,NO2,1g,13.870927696,0.93005,76.1263,0,60.5489,60.5741,8458,96.55,1.06
2018,wielkopolskie,PL3003,strefa wielkopolska,WpKoniWyszyn,NO2,1g,13.954003668,0.39104,94.55,0,70.6809,71.0015,8384,95.7,1.05
2018,wielkopolskie,PL3003,strefa wielkopolska,WpKozieosLes,NO2,1g,17.652590346,-0.00294,77.1488,0,67.8317,67.8896,8286,94.58,0.98
2018,wielkopolskie,PL3003,strefa wielkopolska,WpPiaskiKrzy,NO2,1g,10.487681958,0.4137,79.5284,0,45.069,45.4325,8564,97.76,1.03
2018,wielkopolskie,PL3003,strefa wielkopolska,WpPilaKusoci,NO2,1g,15.315717927,1.18621,92.3572,0,75.0813,75.876,8656,98.81,1.01
2018,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczAndr01,NO2,1g,16.924128239,1.66928,96.0621,0,74.9159,75.4778,8478,96.78,0.96
2018,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczPils02,NO2,1g,24.873759646,0.19226,143.42,0,114.154,114.352,8254,94.22,0.91
2018,zachodniopomorskie,PL3202,miasto Koszalin,ZpKoszArKraj,NO2,1g,25.703516061,0.8535,151.297,0,107.675,108.517,8485,96.86,1.01
2018,zachodniopomorskie,PL3203,strefa zachodniopomorska,ZpSzczecPrze,NO2,1g,13.987831822,0,82.158,0,71.8351,72.3481,8579,97.93,0.99
