powiat_en,powiat_pl,type,voivodship_en,voivodship_pl
Aleksandrów County,powiat aleksandrowski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Augustów County,powiat augustowski,county,Podlaskie,podlaskie
Bartoszyce County,powiat bartoszycki,county,Warmian-Masurian,warmińsko-mazurskie
Będzin County,powiat będziński,county,Silesian,śląskie
Bełchatów County,powiat bełchatowski,county,Łódź,łódzkie
Biała Podlaska,Biała Podlaska,city county,Lublin,lubelskie
Biała Podlaska County,powiat bialski,county,Lublin,lubelskie
Białobrzegi County,powiat białobrzeski,county,Masovian,mazowieckie
Białogard County,powiat białogardzki,county,West Pomeranian,zachodniopomorskie
Białystok,Białystok,city county,Podlaskie,podlaskie
Białystok County,powiat białostocki,county,Podlaskie,podlaskie
Bielsk County,powiat bielski,county,Podlaskie,podlaskie
Bielsko County,powiat bielski,county,Silesian,podlaskie
Bielsko-Biała,Bielsko-Biała,city county,Silesian,śląskie
Bieruń-Lędziny County,powiat bieruńsko-lędziński,county,Silesian,śląskie
Bieszczady County,powiat bieszczadzki,county,Subcarpathian,podkarpackie
Biłgoraj County,powiat biłgorajski,county,Lublin,lubelskie
Bochnia County,powiat bocheński,county,Lesser Poland,małopolskie
Bolesławiec County,powiat bolesławiecki,county,Lower Silesian,dolnośląskie
Braniewo County,powiat braniewski,county,Warmian-Masurian,warmińsko-mazurskie
Brodnica County,powiat brodnicki,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Brzeg County,powiat brzeski,county,Opole,małopolskie
Brzesko County,powiat brzeski,county,Lesser Poland,małopolskie
Brzeziny County,powiat brzeziński,county,Łódź,łódzkie
Brzozów County,powiat brzozowski,county,Subcarpathian,podkarpackie
Busko County,powiat buski,county,Świętokrzyskie,świętokrzyskie
Bydgoszcz,Bydgoszcz,city county,Kuyavian-Pomeranian,kujawsko-pomorskie
Bydgoszcz County,powiat bydgoski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Bytom,Bytom,city county,Silesian,śląskie
Bytów County,powiat bytowski,county,Pomeranian,pomorskie
Chełm,Chełm,city county,Lublin,lubelskie
Chełm County,powiat chełmski,county,Lublin,lubelskie
Chełmno County,powiat chełmiński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Chodzież County,powiat chodzieski,county,Greater Poland,wielkopolskie
Chojnice County,powiat chojnicki,county,Pomeranian,pomorskie
Chorzów,Chorzów,city county,Silesian,śląskie
Choszczno County,powiat choszczeński,county,West Pomeranian,zachodniopomorskie
Chrzanów County,powiat chrzanowski,county,Lesser Poland,małopolskie
Ciechanów County,powiat ciechanowski,county,Masovian,mazowieckie
Cieszyn County,powiat cieszyński,county,Silesian,śląskie
Czarnków-Trzcianka County,powiat czarnkowsko-trzcianecki,county,Greater Poland,wielkopolskie
Częstochowa,Częstochowa,city county,Silesian,śląskie
Częstochowa County,powiat częstochowski,county,Silesian,śląskie
Człuchów County,powiat człuchowski,county,Pomeranian,pomorskie
Dąbrowa County,powiat dąbrowski,county,Lesser Poland,małopolskie
Dąbrowa Górnicza,Dąbrowa Górnicza,city county,Silesian,śląskie
Dębica County,powiat dębicki,county,Subcarpathian,podkarpackie
Drawsko County,powiat drawski,county,West Pomeranian,zachodniopomorskie
Działdowo County,powiat działdowski,county,Warmian-Masurian,warmińsko-mazurskie
Dzierżoniów County,powiat dzierżoniowski,county,Lower Silesian,dolnośląskie
Elbląg,Elbląg,city county,Warmian-Masurian,warmińsko-mazurskie
Elbląg County,powiat elbląski,county,Warmian-Masurian,warmińsko-mazurskie
Ełk County,powiat ełcki,county,Warmian-Masurian,warmińsko-mazurskie
Garwolin County,powiat garwoliński,county,Masovian,mazowieckie
Gdańsk,Gdańsk,city county,Pomeranian,pomorskie
Gdańsk County,powiat gdański,county,Pomeranian,pomorskie
Gdynia,Gdynia,city county,Pomeranian,pomorskie
Giżycko County,powiat giżycki,county,Warmian-Masurian,warmińsko-mazurskie
Gliwice,Gliwice,city county,Silesian,śląskie
Gliwice County,powiat gliwicki,county,Silesian,śląskie
Głogów County,powiat głogowski,county,Lower Silesian,dolnośląskie
Głubczyce County,powiat głubczycki,county,Opole,opolskie
Gniezno County,powiat gnieźnieński,county,Greater Poland,wielkopolskie
Gołdap County,powiat gołdapski,county,Warmian-Masurian,warmińsko-mazurskie
Goleniów County,powiat goleniowski,county,West Pomeranian,zachodniopomorskie
Golub-Dobrzyń County,powiat golubsko-dobrzyński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Góra County,powiat górowski,county,Lower Silesian,dolnośląskie
Gorlice County,powiat gorlicki,county,Lesser Poland,małopolskie
Gorzów County,powiat gorzowski,county,Lubusz,lubuskie
Gorzów Wielkopolski,Gorzów Wielkopolski,city county,Lubusz,lubuskie
Gostyń County,powiat gostyński,county,Greater Poland,wielkopolskie
Gostynin County,powiat gostyniński,county,Masovian,mazowieckie
Grajewo County,powiat grajewski,county,Podlaskie,podlaskie
Grodzisk Mazowiecki County,powiat grodziski,county,Masovian,mazowieckie
Grodzisk Wielkopolski County,powiat grodziski,county,Greater Poland,mazowieckie
Grójec County,powiat grójecki,county,Masovian,mazowieckie
Grudziądz,Grudziądz,city county,Kuyavian-Pomeranian,kujawsko-pomorskie
Grudziądz County,powiat grudziądzki,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Gryfice County,powiat gryficki,county,West Pomeranian,zachodniopomorskie
Gryfino County,powiat gryfiński,county,West Pomeranian,zachodniopomorskie
Hajnówka County,powiat hajnowski,county,Podlaskie,podlaskie
Hrubieszów County,powiat hrubieszowski,county,Lublin,lubelskie
Iława County,powiat iławski,county,Warmian-Masurian,warmińsko-mazurskie
Inowrocław County,powiat inowrocławski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Janów Lubelski County,powiat janowski,county,Lublin,lubelskie
Jarocin County,powiat jarociński,county,Greater Poland,wielkopolskie
Jarosław County,powiat jarosławski,county,Subcarpathian,podkarpackie
Jasło County,powiat jasielski,county,Subcarpathian,podkarpackie
Jastrzębie-Zdrój,Jastrzębie-Zdrój,city county,Silesian,śląskie
Jawor County,powiat jaworski,county,Lower Silesian,dolnośląskie
Jaworzno,Jaworzno,city county,Silesian,śląskie
Jędrzejów County,powiat jędrzejowski,county,Świętokrzyskie,świętokrzyskie
Jelenia Góra,Jelenia Góra,city county,Lower Silesian,dolnośląskie
Kalisz,Kalisz,city county,Greater Poland,wielkopolskie
Kalisz County,powiat kaliski,county,Greater Poland,wielkopolskie
Kamień County,powiat kamieński,county,West Pomeranian,zachodniopomorskie
Kamienna Góra County,powiat kamiennogórski,county,Lower Silesian,dolnośląskie
Karkonosze County,powiat karkonoski,county,Lower Silesian,dolnośląskie
Kartuzy County,powiat kartuski,county,Pomeranian,pomorskie
Katowice,Katowice,city county,Silesian,śląskie
Kazimierza County,powiat kazimierski,county,Świętokrzyskie,świętokrzyskie
Kędzierzyn-Koźle County,powiat kędzierzyńsko-kozielski,county,Opole,opolskie
Kępno County,powiat kępiński,county,Greater Poland,wielkopolskie
Kętrzyn County,powiat kętrzyński,county,Warmian-Masurian,warmińsko-mazurskie
Kielce,Kielce,city county,Świętokrzyskie,świętokrzyskie
Kielce County,powiat kielecki,county,Świętokrzyskie,świętokrzyskie
Kłobuck County,powiat kłobucki,county,Silesian,śląskie
Kłodzko County,powiat kłodzki,county,Lower Silesian,dolnośląskie
Kluczbork County,powiat kluczborski,county,Opole,opolskie
Kolbuszowa County,powiat kolbuszowski,county,Subcarpathian,podkarpackie
Kolno County,powiat kolneński,county,Podlaskie,podlaskie
Koło County,powiat kolski,county,Greater Poland,wielkopolskie
Kołobrzeg County,powiat kołobrzeski,county,West Pomeranian,zachodniopomorskie
Konin,Konin,city county,Greater Poland,wielkopolskie
Konin County,powiat koniński,county,Greater Poland,wielkopolskie
Końskie County,powiat konecki,county,Świętokrzyskie,świętokrzyskie
Kościan County,powiat kościański,county,Greater Poland,wielkopolskie
Kościerzyna County,powiat kościerski,county,Pomeranian,pomorskie
Koszalin,Koszalin,city county,West Pomeranian,zachodniopomorskie
Koszalin County,powiat koszaliński,county,West Pomeranian,zachodniopomorskie
Kozienice County,powiat kozienicki,county,Masovian,mazowieckie
Kraków,Kraków,city county,Lesser Poland,małopolskie
Kraków County,powiat krakowski,county,Lesser Poland,małopolskie
Krapkowice County,powiat krapkowicki,county,Opole,opolskie
Kraśnik County,powiat kraśnicki,county,Lublin,lubelskie
Krasnystaw County,powiat krasnostawski,county,Lublin,lubelskie
Krosno,Krosno,city county,Subcarpathian,podkarpackie
Krosno County,powiat krośnieński,county,Subcarpathian,lubuskie
Krosno Odrzańskie County,powiat krośnieński,county,Lubusz,lubuskie
Krotoszyn County,powiat krotoszyński,county,Greater Poland,wielkopolskie
Kutno County,powiat kutnowski,county,Łódź,łódzkie
Kwidzyn County,powiat kwidzyński,county,Pomeranian,pomorskie
Łańcut County,powiat łańcucki,county,Subcarpathian,podkarpackie
Łask County,powiat łaski,county,Łódź,łódzkie
Lębork County,powiat lęborski,county,Pomeranian,pomorskie
Łęczna County,powiat łęczyński,county,Lublin,lubelskie
Łęczyca County,powiat łęczycki,county,Łódź,łódzkie
Legionowo County,powiat legionowski,county,Masovian,mazowieckie
Legnica,Legnica,city county,Lower Silesian,dolnośląskie
Legnica County,powiat legnicki,county,Lower Silesian,dolnośląskie
Lesko County,powiat leski,county,Subcarpathian,podkarpackie
Leszno,Leszno,city county,Greater Poland,wielkopolskie
Leszno County,powiat leszczyński,county,Greater Poland,wielkopolskie
Leżajsk County,powiat leżajski,county,Subcarpathian,podkarpackie
Lidzbark County,powiat lidzbarski,county,Warmian-Masurian,warmińsko-mazurskie
Limanowa County,powiat limanowski,county,Lesser Poland,małopolskie
Lipno County,powiat lipnowski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Lipsko County,powiat lipski,county,Masovian,mazowieckie
Łobez County,powiat łobeski,county,West Pomeranian,zachodniopomorskie
Łódź,Łódź,city county,Łódź,łódzkie
Łódź East County,powiat łódzki wschodni,county,Łódź,łódzkie
Łomża,Łomża,city county,Podlaskie,podlaskie
Łomża County,powiat łomżyński,county,Podlaskie,podlaskie
Łosice County,powiat łosicki,county,Masovian,mazowieckie
Łowicz County,powiat łowicki,county,Łódź,łódzkie
Lubaczów County,powiat lubaczowski,county,Subcarpathian,podkarpackie
Lubań County,powiat lubański,county,Lower Silesian,dolnośląskie
Lubartów County,powiat lubartowski,county,Lublin,lubelskie
Lubin County,powiat lubiński,county,Lower Silesian,dolnośląskie
Lublin,Lublin,city county,Lublin,lubelskie
Lublin County,powiat lubelski,county,Lublin,lubelskie
Lubliniec County,powiat lubliniecki,county,Silesian,śląskie
Łuków County,powiat łukowski,county,Lublin,lubelskie
Lwówek Śląski County,powiat lwówecki,county,Lower Silesian,dolnośląskie
Maków County,powiat makowski,county,Masovian,mazowieckie
Malbork County,powiat malborski,county,Pomeranian,pomorskie
Miechów County,powiat miechowski,county,Lesser Poland,małopolskie
Międzychód County,powiat międzychodzki,county,Greater Poland,wielkopolskie
Międzyrzecz County,powiat międzyrzecki,county,Lubusz,lubuskie
Mielec County,powiat mielecki,county,Subcarpathian,podkarpackie
Mikołów County,powiat mikołowski,county,Silesian,śląskie
Milicz County,powiat milicki,county,Lower Silesian,dolnośląskie
Mińsk County,powiat miński,county,Masovian,mazowieckie
Mława County,powiat mławski,county,Masovian,mazowieckie
Mogilno County,powiat mogileński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Mońki County,powiat moniecki,county,Podlaskie,podlaskie
Mrągowo County,powiat mrągowski,county,Warmian-Masurian,warmińsko-mazurskie
Myślenice County,powiat myślenicki,county,Lesser Poland,małopolskie
Myślibórz County,powiat myśliborski,county,West Pomeranian,zachodniopomorskie
Mysłowice,Mysłowice,city county,Silesian,śląskie
Myszków County,powiat myszkowski,county,Silesian,śląskie
Nakło County,powiat nakielski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Namysłów County,powiat namysłowski,county,Opole,opolskie
Nidzica County,powiat nidzicki,county,Warmian-Masurian,warmińsko-mazurskie
Nisko County,powiat niżański,county,Subcarpathian,podkarpackie
Nowa Sól County,powiat nowosolski,county,Lubusz,lubuskie
Nowe Miasto County,powiat nowomiejski,county,Warmian-Masurian,warmińsko-mazurskie
Nowy Dwór Gdański County,powiat nowodworski,county,Pomeranian,mazowieckie
Nowy Dwór County,powiat nowodworski,county,Masovian,mazowieckie
Nowy Sącz,Nowy Sącz,city county,Lesser Poland,małopolskie
Nowy Sącz County,powiat nowosądecki,county,Lesser Poland,małopolskie
Nowy Targ County,powiat nowotarski,county,Lesser Poland,małopolskie
Nowy Tomyśl County,powiat nowotomyski,county,Greater Poland,wielkopolskie
Nysa County,powiat nyski,county,Opole,opolskie
Oborniki County,powiat obornicki,county,Greater Poland,wielkopolskie
Oława County,powiat oławski,county,Lower Silesian,dolnośląskie
Olecko County,powiat olecki,county,Warmian-Masurian,warmińsko-mazurskie
Oleśnica County,powiat oleśnicki,county,Lower Silesian,dolnośląskie
Olesno County,powiat oleski,county,Opole,opolskie
Olkusz County,powiat olkuski,county,Lesser Poland,małopolskie
Olsztyn,Olsztyn,city county,Warmian-Masurian,warmińsko-mazurskie
Olsztyn County,powiat olsztyński,county,Warmian-Masurian,warmińsko-mazurskie
Opatów County,powiat opatowski,county,Świętokrzyskie,świętokrzyskie
Opoczno County,powiat opoczyński,county,Łódź,łódzkie
Opole,Opole,city county,Opole,opolskie
Opole County,powiat opolski,county,Opole,lubelskie
Opole Lubelskie County,powiat opolski,county,Lublin,lubelskie
Ostróda County,powiat ostródzki,county,Warmian-Masurian,warmińsko-mazurskie
Ostrołęka,Ostrołęka,city county,Masovian,mazowieckie
Ostrołęka County,powiat ostrołęcki,county,Masovian,mazowieckie
Ostrów Mazowiecka County,powiat ostrowski,county,Masovian,mazowieckie
Ostrów Wielkopolski County,powiat ostrowski,county,Greater Poland,mazowieckie
Ostrowiec County,powiat ostrowiecki,county,Świętokrzyskie,świętokrzyskie
Ostrzeszów County,powiat ostrzeszowski,county,Greater Poland,wielkopolskie
Oświęcim County,powiat oświęcimski,county,Lesser Poland,małopolskie
Otwock County,powiat otwocki,county,Masovian,mazowieckie
Pabianice County,powiat pabianicki,county,Łódź,łódzkie
Pajęczno County,powiat pajęczański,county,Łódź,łódzkie
Parczew County,powiat parczewski,county,Lublin,lubelskie
Piaseczno County,powiat piaseczyński,county,Masovian,mazowieckie
Piekary Śląskie,Piekary Śląskie,city county,Silesian,śląskie
Piła County,powiat pilski,county,Greater Poland,wielkopolskie
Pińczów County,powiat pińczowski,county,Świętokrzyskie,świętokrzyskie
Piotrków County,powiat piotrkowski,county,Łódź,łódzkie
Piotrków Trybunalski,Piotrków Trybunalski,city county,Łódź,łódzkie
Pisz County,powiat piski,county,Warmian-Masurian,warmińsko-mazurskie
Pleszew County,powiat pleszewski,county,Greater Poland,wielkopolskie
Płock,Płock,city county,Masovian,mazowieckie
Płock County,powiat płocki,county,Masovian,mazowieckie
Płońsk County,powiat płoński,county,Masovian,mazowieckie
Poddębice County,powiat poddębicki,county,Łódź,łódzkie
Police County,powiat policki,county,West Pomeranian,zachodniopomorskie
Polkowice County,powiat polkowicki,county,Lower Silesian,dolnośląskie
Poznań,Poznań,city county,Greater Poland,wielkopolskie
Poznań County,powiat poznański,county,Greater Poland,wielkopolskie
Proszowice County,powiat proszowicki,county,Lesser Poland,małopolskie
Prudnik County,powiat prudnicki,county,Opole,opolskie
Pruszków County,powiat pruszkowski,county,Masovian,mazowieckie
Przasnysz County,powiat przasnyski,county,Masovian,mazowieckie
Przemyśl,Przemyśl,city county,Subcarpathian,podkarpackie
Przemyśl County,powiat przemyski,county,Subcarpathian,podkarpackie
Przeworsk County,powiat przeworski,county,Subcarpathian,podkarpackie
Przysucha County,powiat przysuski,county,Masovian,mazowieckie
Pszczyna County,powiat pszczyński,county,Silesian,śląskie
Puck County,powiat pucki,county,Pomeranian,pomorskie
Puławy County,powiat puławski,county,Lublin,lubelskie
Pułtusk County,powiat pułtuski,county,Masovian,mazowieckie
Pyrzyce County,powiat pyrzycki,county,West Pomeranian,zachodniopomorskie
Racibórz County,powiat raciborski,county,Silesian,śląskie
Radom,Radom,city county,Masovian,mazowieckie
Radom County,powiat radomski,county,Masovian,mazowieckie
Radomsko County,powiat radomszczański,county,Łódź,łódzkie
Radziejów County,powiat radziejowski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Radzyń Podlaski County,powiat radzyński,county,Lublin,lubelskie
Rawa County,powiat rawski,county,Łódź,łódzkie
Rawicz County,powiat rawicki,county,Greater Poland,wielkopolskie
Ropczyce-Sędziszów County,powiat ropczycko-sędziszowski,county,Subcarpathian,podkarpackie
Ruda Śląska,Ruda Śląska,city county,Silesian,śląskie
Rybnik,Rybnik,city county,Silesian,śląskie
Rybnik County,powiat rybnicki,county,Silesian,śląskie
Ryki County,powiat rycki,county,Lublin,lubelskie
Rypin County,powiat rypiński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Rzeszów,Rzeszów,city county,Subcarpathian,podkarpackie
Rzeszów County,powiat rzeszowski,county,Subcarpathian,podkarpackie
Sandomierz County,powiat sandomierski,county,Świętokrzyskie,świętokrzyskie
Sanok County,powiat sanocki,county,Subcarpathian,podkarpackie
Sejny County,powiat sejneński,county,Podlaskie,podlaskie
Sępólno County,powiat sępoleński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Siedlce,Siedlce,city county,Masovian,mazowieckie
Siedlce County,powiat siedlecki,county,Masovian,mazowieckie
Siemianowice Śląskie,Siemianowice Śląskie,city county,Silesian,śląskie
Siemiatycze County,powiat siemiatycki,county,Podlaskie,podlaskie
Sieradz County,powiat sieradzki,county,Łódź,łódzkie
Sierpc County,powiat sierpecki,county,Masovian,mazowieckie
Skarżysko County,powiat skarżyski,county,Świętokrzyskie,świętokrzyskie
Skierniewice,Skierniewice,city county,Łódź,łódzkie
Skierniewice County,powiat skierniewicki,county,Łódź,łódzkie
Sławno County,powiat sławieński,county,West Pomeranian,zachodniopomorskie
Słubice County,powiat słubicki,county,Lubusz,lubuskie
Słupca County,powiat słupecki,county,Greater Poland,wielkopolskie
Słupsk,Słupsk,city county,Pomeranian,pomorskie
Słupsk County,powiat słupski,county,Pomeranian,pomorskie
Sochaczew County,powiat sochaczewski,county,Masovian,mazowieckie
Sokółka County,powiat sokólski,county,Podlaskie,podlaskie
Sokołów County,powiat sokołowski,county,Masovian,mazowieckie
Sopot,Sopot,city county,Pomeranian,pomorskie
Sosnowiec,Sosnowiec,city county,Silesian,śląskie
Śrem County,powiat śremski,county,Greater Poland,wielkopolskie
Środa Śląska County,powiat średzki,county,Lower Silesian,dolnośląskie
Środa Wielkopolska County,powiat średzki,county,Greater Poland,dolnośląskie
Stalowa Wola County,powiat stalowowolski,county,Subcarpathian,podkarpackie
Starachowice County,powiat starachowicki,county,Świętokrzyskie,świętokrzyskie
Stargard County,powiat stargardzki,county,West Pomeranian,zachodniopomorskie
Starogard County,powiat starogardzki,county,Pomeranian,pomorskie
Staszów County,powiat staszowski,county,Świętokrzyskie,świętokrzyskie
Strzelce County,powiat strzelecki,county,Opole,opolskie
Strzelce-Drezdenko County,powiat strzelecko-drezdenecki,county,Lubusz,lubuskie
Strzelin County,powiat strzeliński,county,Lower Silesian,dolnośląskie
Strzyżów County,powiat strzyżowski,county,Subcarpathian,podkarpackie
Sucha County,powiat suski,county,Lesser Poland,małopolskie
Sulęcin County,powiat sulęciński,county,Lubusz,lubuskie
Suwałki,Suwałki,city county,Podlaskie,podlaskie
Suwałki County,powiat suwalski,county,Podlaskie,podlaskie
Świdnica County,powiat świdnicki,county,Lower Silesian,dolnośląskie
Świdnik County,powiat świdnicki,county,Lublin,dolnośląskie
Świdwin County,powiat świdwiński,county,West Pomeranian,zachodniopomorskie
Świebodzin County,powiat świebodziński,county,Lubusz,lubuskie
Świecie County,powiat świecki,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Świętochłowice,Świętochłowice,city county,Silesian,śląskie
Świnoujście,Świnoujście,city county,West Pomeranian,zachodniopomorskie
Szamotuły County,powiat szamotulski,county,Greater Poland,wielkopolskie
Szczecin,Szczecin,city county,West Pomeranian,zachodniopomorskie
Szczecinek County,powiat szczecinecki,county,West Pomeranian,zachodniopomorskie
Szczytno County,powiat szczycieński,county,Warmian-Masurian,warmińsko-mazurskie
Sztum County,powiat sztumski,county,Pomeranian,pomorskie
Szydłowiec County,powiat szydłowiecki,county,Masovian,mazowieckie
Tarnobrzeg,Tarnobrzeg,city county,Subcarpathian,podkarpackie
Tarnobrzeg County,powiat tarnobrzeski,county,Subcarpathian,podkarpackie
Tarnów,Tarnów,city county,Lesser Poland,małopolskie
Tarnów County,powiat tarnowski,county,Lesser Poland,małopolskie
Tarnowskie Góry County,powiat tarnogórski,county,Silesian,śląskie
Tatra County,powiat tatrzański,county,Lesser Poland,małopolskie
Tczew County,powiat tczewski,county,Pomeranian,pomorskie
Tomaszów Lubelski County,powiat tomaszowski,county,Lublin,lubelskie
Tomaszów Mazowiecki County,powiat tomaszowski,county,Łódź,lubelskie
Toruń,Toruń,city county,Kuyavian-Pomeranian,kujawsko-pomorskie
Toruń County,powiat toruński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Trzebnica County,powiat trzebnicki,county,Lower Silesian,dolnośląskie
Tuchola County,powiat tucholski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Turek County,powiat turecki,county,Greater Poland,wielkopolskie
Tychy,Tychy,city county,Silesian,śląskie
Wąbrzeźno County,powiat wąbrzeski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Wadowice County,powiat wadowicki,county,Lesser Poland,małopolskie
Wągrowiec County,powiat wągrowiecki,county,Greater Poland,wielkopolskie
Wałbrzych,Wałbrzych,city county,Lower Silesian,dolnośląskie
Wałbrzych County,powiat wałbrzyski,county,Lower Silesian,dolnośląskie
Wałcz County,powiat wałecki,county,West Pomeranian,zachodniopomorskie
Warsaw,Warsaw,city county,Masovian,mazowieckie
Warsaw West County,powiat warszawski zachodni,county,Masovian,mazowieckie
Węgorzewo County,powiat węgorzewski,county,Warmian-Masurian,warmińsko-mazurskie
Węgrów County,powiat węgrowski,county,Masovian,mazowieckie
Wejherowo County,powiat wejherowski,county,Pomeranian,pomorskie
Wieliczka County,powiat wielicki,county,Lesser Poland,małopolskie
Wieluń County,powiat wieluński,county,Łódź,łódzkie
Wieruszów County,powiat wieruszowski,county,Łódź,łódzkie
Włocławek,Włocławek,city county,Kuyavian-Pomeranian,kujawsko-pomorskie
Włocławek County,powiat włocławski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Włodawa County,powiat włodawski,county,Lublin,lubelskie
Włoszczowa County,powiat włoszczowski,county,Świętokrzyskie,świętokrzyskie
Wodzisław County,powiat wodzisławski,county,Silesian,śląskie
Wołomin County,powiat wołomiński,county,Masovian,mazowieckie
Wołów County,powiat wołowski,county,Lower Silesian,dolnośląskie
Wolsztyn County,powiat wolsztyński,county,Greater Poland,wielkopolskie
Wrocław,Wrocław,city county,Lower Silesian,dolnośląskie
Wrocław County,powiat wrocławski,county,Lower Silesian,dolnośląskie
Września County,powiat wrzesiński,county,Greater Poland,wielkopolskie
Wschowa County,powiat wschowski,county,Lubusz,lubuskie
Wysokie Mazowieckie County,powiat wysokomazowiecki,county,Podlaskie,podlaskie
Wyszków County,powiat wyszkowski,county,Masovian,mazowieckie
Ząbkowice Śląskie County,powiat ząbkowicki,county,Lower Silesian,dolnośląskie
Zabrze,Zabrze,city county,Silesian,śląskie
Żagań County,powiat żagański,county,Lubusz,lubuskie
Zambrów County,powiat zambrowski,county,Podlaskie,podlaskie
Zamość,Zamość,city county,Lublin,lubelskie
Zamość County,powiat zamojski,county,Lublin,lubelskie
Żary County,powiat żarski,county,Lubusz,lubuskie
Zawiercie County,powiat zawierciański,county,Silesian,śląskie
Zduńska Wola County,powiat zduńskowolski,county,Łódź,łódzkie
Zgierz County,powiat zgierski,county,Łódź,łódzkie
Zgorzelec County,powiat zgorzelecki,county,Lower Silesian,dolnośląskie
Zielona Góra,Zielona Góra,city county,Lubusz,lubuskie
Zielona Góra County,powiat zielonogórski,county,Lubusz,lubuskie
Złotoryja County,powiat złotoryjski,county,Lower Silesian,dolnośląskie
Złotów County,powiat złotowski,county,Greater Poland,wielkopolskie
Żnin County,powiat żniński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Żory,Żory,city county,Silesian,śląskie
Żuromin County,powiat żuromiński,county,Masovian,mazowieckie
Zwoleń County,powiat zwoleński,county,Masovian,mazowieckie
Żyrardów County,powiat żyrardowski,county,Masovian,mazowieckie
Żywiec County,powiat żywiecki,county,Silesian,śląskie
