Station,NO2,O3,PM10,PM25
DsWrocBartni,,X,,
PmLebaRabkaE,X,X,,
SlBielSterni,,,,X
DsOsieczow21,,X,X,X
DsWrocOrzech,,,X,
PkNiskoSzkla,,X,X,X
PkMielBierna,,X,,
PmGdaLecz08m,,,X,
WmBiskupMickMOB,,,X,
DsNowRudSreb,,,X,
SlGliwicMewy,,,,X
MzPiasPulask,,X,X,
MzWarAlNiepo,,,X,
WmIlawAnders,,,X,
KpWloclKalis,,X,,
SlMyszMiedzi,,,X,
KpWieniecZdrMOB,,X,,
LuSwiebodMOB,,,X,
SkKonsGranatMOB,,X,X,X
DsGlogWiStwo,,,X,
WpWagrowLipo,,,X,
LdToMaSwAnto,,,X,
DsLubanMOB,,X,,
KpWloclGniaz,,,X,X
PmGdaOstrz05,,X,,
SlUstronSana,,X,,
PdBialPulPie,,X,,
DsLubanMieszMOB,,X,,
SkKielWarsza,,,,X
LdWieluPOW12,,,X,
MpKrakZloRog,,,X,
MzWarBajkowa,,,X,
PmChojPlEmsdMOB,,,X,
SlBielKossak,,X,X,
LuWsKaziWiel,,X,X,X
MzOstroHalle,,,X,
MzBelsIGFPAN,,X,,
LdZduWoKrole,,,X,
SkBuskRokosz,,,X,X
PkKrosKletow,,,X,X
PkMielPogodn,,,X,
DsWrocNaGrob,,,,X
WpTarPodZach,,,X,
MpOswiecBema,,,X,
PdBialWarsza,,X,,X
LbKrasnobrod,,,X,
KpCiechTezni,,X,X,
SkKielKusoci,,,X,
WpNoTomSzpit,,,X,
MzWarKondrat,,X,,X
DsOlesBrzozo,,,X,
KpWloclGnia2,,,X,X
SlWodzGalczy,,X,,
LbLubObywate,,X,,
DsZlotoStasz,,,X,
LdParzniUjWo,,X,X,
ZpKoszSpasow,,,X,X
MpBochKonfed,,,X,X
OpNysaRodzie,,,X,X
KpZielBoryTu,,X,X,X
KpKoniczynka,,X,X,
PkLatosZdrojMOB,,,X,
LbJarczWolaM,X,X,,
SlKatoKossut,,X,X,X
LbWilczopole,,X,,
MzKonJezMos,,X,X,
KpWieniZdroj,,,X,
SlZawSkloCur,,,X,
MpBrzeszKosc,,,X,
MzRad25Czerw,,,X,
KpToruDziewu,,X,X,X
KpBydFieldor,,,,X
MzKonJezWieMOB,,,X,
LdSieraPolna,,,X,
KpGrudSienki,,,X,X
DsLegPolarna,,,,X
MzWarChrosci,,X,X,
DsKudowaMOB,,X,,
LbZamoHrubie,,,X,X
PkDebiGrottg,,,X,
LdLowiczSien,,,X,
SkOpatPartyz,,,X,
PmGdaLeczk08,,X,,
ZpWiduBulRyb,,X,X,
DsSzczaKolej,,,X,
SlKnurJedNar,,,X,
ZpSzczPils02,,,X,
LbNaleczow,,,X,
LdUniejTermy,,,X,
WmGoldUzdrowMOB,,,X,
ZpSzczAndr01,,X,X,X
PkKrempnaMPN,,X,,
PkRzeszRejta,,X,X,X
MpNoTargPSlo,,,X,
ZpKoszChopin,,X,X,
LdKutn1Maja7MOB,,,X,
LuSulecDudka,,X,X,
WmOstrPilsud,,X,X,X
LbPulaKarpin,,,X,
KpWloclChelmMOB,,X,,
LdBelchatEdward,,,X,
DsLegAlRzecz,,X,X,X
WpPleszAlMic,,,X,X
MzWarWokalna,,X,,X
MpKaszowLisz,,X,,
WpPoznSzyman,,,X,
MpKrynicDiet,,,X,
LdPioTrKraPr,,X,X,X
KpMogiNowMOB,,,X,
PdBorsukowiz,,X,,
KpChelmLunawMOB,,,,X
LdZgieMielcz,,X,,
DsJaworMOB,,,X,
PmKwiSportow,,,X,
MpTrzebOsZWM,,X,X,X
PmMalMicki15,,X,X,
ZpSzczec1Maj,,,X,X
LbBiaPodOrze,,X,X,X
SlCzestoZana,,,,X
LuZarySzyman,,X,X,X
LdLodzLegion,,,X,X
LuGubinAnderMOB,,,X,
MpKrakSwoszo,,,X,
LbFlorianRPN,,X,X,
WmNiTraugutt,,,X,
SkStaraZlota,,,X,X
LdKutnKosciu,,,X,
MpKrakOsPias,,,X,X
OpOpoleOsAKr,,X,X,X
OpKluczMicki,,,X,X
MzSiedKonars,,,X,
LdOpocSkCuri,,,X,
WpPoznChwial,,,X,
MzWarMeteo,,X,,
PmGdyJozBema,,,X,
PkRymZdrPark,,,X,
KpBrodKochan,,,X,
LdUniejZamko,,,X,
LdPabiKonsta,,X,,
PkIwonZdrRab,,,X,
SkKielJagiel,,X,X,X
OpStrzOpWysz,,,X,
MzPlocMiReja,,X,,
LdLaskNarutoMOB,,,X,
MzGutyDuCzer,,X,X,
LdBrzeReform,,,X,
WpBoroDrapal,,X,,
MpTuchChopin,,,X,
MpKrakWadow,,,X,
SkSolecZdrojMOB,,,X,X
DsPolKasztan,,,X,
LbChelJagiel,,,X,X
LuGorzKosGdy,,X,X,
DsSwidnFolwa,,,X,
MzWarTolstoj,,,X,X
OpKKozBSmial,,X,X,X
MpTarBitStud,,X,X,X
DsKamGoraMOB,,,X,
PdSuwPulaski,,,X,
LuNowaSolKos,,,X,
SlCiesMickie,,X,X,
LdRawaNiepod,,,X,
MzWarPodlesn,,X,,
MzRadHallera,,,,X
MpNoSaczNadb,,,X,X
PdAugustowUz,,X,X,
MpKrakBulwar,,,X,
SkSkarZielnaMOB,,X,X,X
SkNowiParkow,,X,,
MzPlocKroJad,,X,X,X
WmOlsPuszkin,,X,X,X
MpSzarowSpok,,X,,
SkPolaRuszcz,,X,,
ZpSzczecPrze,,,X,
PkJarosPruch,,,X,
MpOlkuCegiel,,,X,
SlDabroTysia,,X,X,
PmSlupKniazi,,X,X,X
DsLadekMOB,,X,,
PkHorZdrParkMOB,,,X,
SlTarnoLitew,,,X,X
LdSkierKonop,,,X,
PmChojnMOB,,,X,
MpKrakBujaka,,X,X,X
ZpKolKasprowMOB,,,X,
WmGoldJacwie,,X,X,
LuGorzPilsud,,,X,X
LuZielKrotka,,X,X,X
KpBydPlPozna,,,X,
WpPiaskiKrzy,,X,,
MpSzymbaGorl,,X,X,
PkSanoSadowa,,,X,
PmLebMalcz16,,X,X,
DsKlodzSzkol,,X,,
LdRadomsRoln,,X,X,
SlGoczaUzdroMOB,,X,,
PmWejhPlWejh,,,X,
MpZabieWapie,,,X,
WpKoniWyszyn,,X,,
SlPszczBoged,,,X,
DsWrocWybCon,,X,X,
PmGdySzafran,,X,,
SlGodGliniki,,,X,X
WpLeszKiepur,,,X,
OpZdziePiast,,,X,
ZpPolczSolanMOB,,,X,
SkKielTargow,,X,X,X
MzMlawOrdona,,,X,
SkGoluUjWody,,X,,
ZpKolZolkiew,,,X,
PkJasloSikor,,X,X,X
SlDabro1000L,,X,X,
OpBrzegPoprz,,,X,
KpNaklSkargi,,,X,
SkKielJurajs,,,X,
PkPrzemGrunw,,X,X,
DsOlawZolnAK,,X,X,
MpMuszynZloc,,,X,
KpBydWarszaw,,X,X,
ZpSzczBudzWosMOB,,,X,
SlRybniBorki,,X,X,
DsWalbrzWyso,,X,X,X
DsMiliczMOB,,,X,
ZpKoszArKraj,,,X,
DsJelGorOgin,,X,,
LdOpocCurieSk,,,X,
LdLodzGdansk,,X,,
DsSrodaSlMOB,,,X,
SlZabSkloCur,,X,X,
LuSmolBytnic,,X,X,
MzMinMazKaziMOB,,,X,
KpToruStorczMOB,,X,,
MzGranicaKPN,,X,,
SkJedrMieszkMOB,,,X,
PkStWolWoPol,,,X,
LuNowaSolMOB,,,X,
WpKaliSawick,,X,X,X
LbKrasKoszar,,,X,
DsJelGorSoko,,,X,
MpNiepo3Maja,,,X,
MzOtwoBrzozo,,X,X,
LbRadzPodSit,,,X,
PmKosTargo12,,X,X,X
MpMuszynKity,,,X,
PmGdyPoreb04,,X,,
WmGlitajn,,,X,
LbNaleczAlMa,,,X,
SkOstrOsSlonMOB,,X,X,X
PkTarnDabrow,,,X,
DsSniezkaObs,X,X,,
LdGajewUjWod,,X,,
MzLegZegrzyn,,X,X,
MpRabkaOrkan,,,X,
WpPoznPolank,,,,X
SlKatoPlebA4,,,X,X
DsTrzebniMaj,,X,,
LdPabiKilins,,,X,
MpGorlKrasin,,,X,
DsZgorBohGet,,,X,X
LbBiaSlupRPN,,X,,
OpGlubRatusz,,,X,
WmElkStadion,,X,X,
MpKrakTelime,,,X,
SkSolecZdroj,,,X,
DsBoleslaMOB,,X,,
PdLomSikorsk,,,X,X
WpPoznDabrow,,X,,X
DsCzerStraza,,X,,
WmElbBazynsk,,X,X,X
OpOlesSlowac,,X,,
PdBialWaszyn,,,X,
LdBelchEdwar,,,X,
KpWloclOkrze,,,X,
SlZywieKoper,,,X,
PmGdySzaf09N,,X,,
LdLodzRudzka,,,X,
PkPolanZdrojMOB,,,X,
MzSierWiosnyMOB,,,X,
SlZlotPotLes,,X,,X
KpInowSolank,,,X,
SlZorySikor2,,,X,X
KpBydBerling,,,,X
MpMszanaDoln,,,X,
WmPuszczaBor,,X,X,X
PmGdaPowWiel,,,,X
DsNowRudJezi,,,X,
WpOstWieWyso,,,X,
SlCzestoBacz,,X,X,
MzWarAKrzywo,,,X,
SkOzarOsWzgo,,,X,
MzRadTochter,,X,,
LbChelmPolan,,,X,X
LdLodzCzerni,,X,,X
PmLinieKos17,,X,X,
MpSuchaNiesz,,,X,
KpNaklWawrzy,,,X,
ZpMyslZaBram,,,X,X
WpPoznSpycha,,,X,
SkSandZielnaMOB,,X,X,X
WpPilaKusoci,,,X,
PdAugustoZdrMOB,,X,,
SlLublPiasko,,,X,
MpZakopaSien,,X,X,X
WpGniePaczko,,,X,
OpPrudPodgor,,,X,
LbLubSliwins,,,X,X
MpKrakAlKras,,,X,
