,STAID,STANAME,CN,LAT,LON,HGHT
0,24860,PSZCZYNA                                ,PL,50.0,18.916666666666668,261
1,24876,JABLONKA                                ,PL,49.46666666666667,19.7,671
2,24880,GUBALOWKA                               ,PL,49.3,19.933333333333334,856
3,24881,WITOW                                   ,PL,49.333333333333336,19.833333333333332,844
4,24885,LAZY                                    ,PL,49.96666666666667,20.5,251
5,24889,LIMANOWA                                ,PL,49.68333333333333,20.433333333333334,587
6,24891,LACKO                                   ,PL,49.559444444444445,20.439444444444444,516
7,24894,PIWNICZNA                               ,PL,49.43333333333333,20.7,684
8,24896,KRYNICA                                 ,PL,49.416666666666664,20.966666666666665,702
9,24897,BUKOWINA TATRZANSKA                     ,PL,49.35,20.116666666666667,848
10,24902,PIWNICZNA                               ,PL,49.42527777777777,20.723055555555554,684
11,24903,PORONIN                                 ,PL,49.33027777777778,20.035,848
12,24904,MSZANA DOLNA                            ,PL,49.66361111111111,20.054444444444446,537
13,24907,KRYNICA-GORA PARKOWA                    ,PL,49.416666666666664,20.966666666666665,702
14,24908,MSZANA DOLNA                            ,PL,49.666666666666664,20.083333333333332,537
15,24909,ZBYSZYCE                                ,PL,49.7,20.666666666666668,302
16,24911,BOCHNIA                                 ,PL,49.983333333333334,20.4,255
17,24918,DYNOW                                   ,PL,49.833333333333336,22.233333333333334,284
18,24921,SOLINA-JAWOR                            ,PL,49.4,22.466666666666665,441
19,24922,KOMANCZA                                ,PL,49.333333333333336,22.066666666666666,569
20,24932,KARPACZ                                 ,PL,50.78333333333333,15.783333333333333,958
21,24952,KOCHCICE                                ,PL,50.71666666666667,18.683333333333334,257
22,24956,DRONIOWICE                              ,PL,50.69611111111111,18.80888888888889,284
23,24958,LUBLINIEC                               ,PL,50.68333333333333,18.7,266
24,24972,BORUSOWA                                ,PL,50.28333333333333,20.8,176
25,24974,WIELICZKA                               ,PL,50.0,20.05,218
26,24977,STASZOW                                 ,PL,50.6,21.183333333333334,249
27,24978,CHORZELOW                               ,PL,50.35,21.45,161
28,24991,NOWY LUBLINIEC                          ,PL,50.266666666666666,23.1,231
29,24992,CIESZANOW                               ,PL,50.23361111111111,23.118055555555557,231
30,24993,LUBACZOW                                ,PL,50.15,23.133333333333333,227
31,25004,ZYBISZOW                                ,PL,51.06666666666667,16.916666666666668,121
32,25012,PUCZNIEW                                ,PL,51.78333333333333,19.083333333333332,148
33,25015,SKIERNIEWICE                            ,PL,51.96666666666667,20.166666666666668,130
34,25018,JARCZEW                                 ,PL,51.81666666666667,21.983333333333334,181
35,25031,GORZYN                                  ,PL,52.56666666666667,15.9,79
36,25038,WIELICHOWO                              ,PL,52.11666666666667,16.35,72
37,25044,KOLUDA WIELKA                           ,PL,52.733333333333334,18.15,76
38,25052,LEGIONOWO                               ,PL,52.4,20.966666666666665,71
39,25053,WARSZAWA-BIELANY                        ,PL,52.28333333333333,20.966666666666665,91
40,25054,WARSZAWA-FILTRY                         ,PL,52.21944444444445,20.999166666666667,91
41,25060,PULTUSK                                 ,PL,52.06777777777778,21.001666666666665,109
42,25064,SZEPIETOWO                              ,PL,52.85,22.55,152
43,25066,BIALOWIEZA                              ,PL,52.7,23.85,170
44,25076,NOWA WIES UJSKA                         ,PL,53.03333333333333,16.75,74
45,25095,BIEBRZA-PIENCZYKOWEK                    ,PL,53.65,22.6,128
46,25101,ROZANYSTOK                              ,PL,53.63333333333333,23.4,152
47,25115,GDANSK-REBIECHOWO                       ,PL,54.38333333333333,18.466666666666665,145
48,25116,GDANSK-SWIBNO                           ,PL,54.333333333333336,18.933333333333334,0
49,25122,LIDZBARK WARMINSKI                      ,PL,54.13333333333333,20.6,99
50,25125,OLECKO                                  ,PL,54.05,22.483333333333334,173
51,25126,KASPROWY WIERCH                         ,PL,49.2325,19.981944444444444,1348
52,25128,JELENIA GORA                            ,PL,50.900277777777774,15.78888888888889,427
53,25129,SNIEZKA                                 ,PL,50.736111111111114,15.739444444444443,958
54,25130,OPOLE                                   ,PL,50.62694444444445,17.968888888888888,163
55,25131,CZOSTOCHOWA                             ,PL,50.8125,19.092499999999998,266
56,25132,KATOWICE-MUCHOWIEC                      ,PL,50.24055555555556,19.032777777777778,281
57,25133,KRAKOW-BALICE                           ,PL,50.08027777777778,19.801944444444445,234
58,25134,TARNOW                                  ,PL,50.03,20.984444444444446,207
59,25135,SANDOMIERZ                              ,PL,50.696666666666665,21.715833333333332,143
60,25136,ZAMOSC                                  ,PL,50.69777777777777,23.20638888888889,258
61,25138,LEGNICA                                 ,PL,51.192499999999995,16.2075,134
62,25139,LUBLIN-RADAWIEC                         ,PL,51.216944444444444,22.39361111111111,228
63,25140,KOLO                                    ,PL,52.20027777777778,18.661388888888887,113
64,25141,PLOCK                                   ,PL,52.58833333333334,19.72583333333333,87
65,25142,RESKO-SMOLSKO                           ,PL,53.77166666666667,15.414722222222222,66
66,25145,MIKOLAJKI                               ,PL,53.78944444444444,21.58861111111111,144
67,25147,KOLOBRZEG-DZWIRZYNO                     ,PL,54.15833333333333,15.38888888888889,1
68,25148,USTKA                                   ,PL,54.58833333333334,16.854166666666668,18
69,25149,LEBORK                                  ,PL,54.55305555555555,17.723611111111108,45
70,25150,GDANSK-REBIECHOWO_OLD                   ,PL,54.38333333333333,18.466666666666665,145
71,25151,ELBLAG-MILEJEWO                         ,PL,54.223055555555554,19.54361111111111,151
72,25152,WARSZAWA-OBSERWATORIUM II               ,PL,52.21666666666667,21.033333333333335,110
73,2022,KOSZALIN                                ,PL,54.20444444444445,16.155277777777776,33
74,8943,PILA                                    ,PL,53.13,16.75,72
75,2023,KETRZYN                                 ,PL,54.07,21.37,108
76,8959,KOZIENCE                                ,PL,51.56472222222222,21.54277777777778,123
77,25156,KROSNO                                  ,PL,49.706944444444446,21.769166666666667,326
78,9161,KROSCIENKO                              ,PL,49.45,20.43,452
79,8969,KROSNO                                  ,PL,49.72,21.77,326
80,9113,KRAKOW OBS. ASTRONOMICZNE               ,PL,50.07,19.97,206
81,1207,PULAWY                                  ,PL,51.416666666666664,21.966666666666665,142
82,9040,WARSZAWA OBS.ASTR.                      ,PL,52.22,21.029999999999998,110
83,930,BIELSKO-BIALA                           ,PL,49.80722222222222,19.00027777777778,396
84,1383,ZAKOPANE                                ,PL,49.3,19.95,857
85,932,NOWY SACZ                               ,PL,49.62722222222222,20.68861111111111,292
86,933,LESKO                                   ,PL,49.46638888888889,22.341666666666665,420
87,2036,KLODZKO                                 ,PL,50.43694444444444,16.61416666666667,356
88,928,RACIBORZ                                ,PL,50.06111111111111,18.190833333333334,206
89,2038,KIELCE                                  ,PL,50.81055555555555,20.692222222222224,260
90,207,RZESZOW JASIONKA                        ,PL,50.11083333333333,22.042222222222225,206
91,2031,ZIELONA GORA                            ,PL,51.93,15.524722222222222,192
92,923,LESZNO                                  ,PL,51.83555555555556,16.534722222222225,91
93,210,WROCLAW                                 ,PL,51.10333333333333,16.9,120
94,2032,KALISZ                                  ,PL,51.730000000000004,18.08,140
95,924,WIELUN                                  ,PL,51.21027777777778,18.55666666666667,199
96,2033,LODZ                                    ,PL,51.730000000000004,19.4,187
97,926,SULEJOW                                 ,PL,51.35333333333333,19.866388888888892,188
98,927,WLODAWA                                 ,PL,51.55333333333333,23.529444444444444,177
99,779,SLUBICE                                 ,PL,52.34861111111111,14.619722222222222,53
100,2029,GORZOW WLKP                             ,PL,52.74111111111111,15.277222222222223,71
101,206,POZNAN                                  ,PL,52.19972222222222,18.660277777777775,115
102,209,WARSZAWA-OKECIE                         ,PL,52.16277777777778,20.961111111111112,107
103,333,SIEDLCE                                 ,PL,52.18111111111111,22.244722222222222,152
104,922,TERESPOL                                ,PL,52.078611111111115,23.621944444444445,133
105,696,SWINOUJSCIE                             ,PL,53.92333333333333,14.242222222222221,5
106,208,SZCZECIN                                ,PL,53.39527777777778,14.622777777777777,1
107,2026,CHOJNICE                                ,PL,53.71527777777778,17.5325,164
108,2027,TORUN                                   ,PL,53.04194444444444,18.595555555555553,69
109,2028,MLAWA                                   ,PL,53.10416666666667,20.361111111111114,147
110,752,OLSZTYN                                 ,PL,53.76861111111111,20.42138888888889,133
111,204,BIALYSTOK                               ,PL,53.10722222222223,23.16222222222222,148
112,332,LEBA                                    ,PL,54.75361111111111,17.534722222222225,2
113,205,HEL                                     ,PL,54.603611111111114,18.811944444444446,1
114,396,ELBLAG                                  ,PL,54.223333333333336,19.54361111111111,189
115,2021,KOLOBRZEG                               ,PL,54.18,15.58,3
116,8945,MIKOLAJKI                               ,PL,53.78,21.58,127
117,4108,FRANKFURT/ODER                          ,DE,52.36527777777778,14.537777777777778,48
118,2024,SUWALKI                                 ,PL,54.130833333333335,22.948888888888888,184
119,2037,KATOWICE                                ,PL,50.24055555555556,19.032777777777778,278
120,929,KRAKOW                                  ,PL,50.07777777777778,19.795,237
121,25055,WARSZAWA-BABICE                         ,PL,52.26694444444444,20.90583333333333,91
122,23808,BABICE                                  ,PL,52.26777777777777,20.910833333333333,107
123,23829,LUBLINEK                                ,PL,51.716944444444444,19.4,184
124,23864,KOLO                                    ,PL,52.2,18.666944444444447,117
125,8935,LEBORK                                  ,PL,54.55,17.75,38
126,8934,USTKA                                   ,PL,54.580000000000005,16.87,6
127,8980,GDANSK-SWIBNO                           ,PL,54.330000000000005,18.93,7
128,8941,RESKO                                   ,PL,53.769999999999996,15.42,52
129,8942,SZCZECINEK                              ,PL,53.72,16.68,137
130,8947,GOZOW WLKP.                             ,PL,52.75,15.280000000000001,72
131,2035,SNIEZKA                                 ,PL,50.730000000000004,15.73,1603
132,8962,OPOLE                                   ,PL,50.63,17.97,165
133,25143,SZCZECINEK                              ,PL,53.71472222222223,16.746666666666666,138
