Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],N Days > 120 (S8max),26 max (S8max) [µg/m3],Per. S93.2 (S8max) [µg/m3],AOT40 V-VII [µg/m3]*h,SOMO35 [µg/m3]*d,Number of measurements,Summer completeness [%],Winter completeness [%],Number of complete summer months (IV-IX),Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocBartni,O3,1g,46.522663876,-0.02222,156.604,6,105.626575,105.907225,11174.237511436,3365.257388733,8545,99,96,6,97.54,1.03
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,O3,1g,46.279460512,0,146.113,5,105.2217625,105.2217625,9882.669446715,3073.231576866,8679,99,99,6,99.07,1.01
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,O3,1g,48.234700903,0,165.008,10,111.9145,112.173675,13083.130307552,3840.264177633,8579,99,97,6,97.93,1.03
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,O3,1g,53.802010458,0,157.181,10,110.563625,110.6675,15434.000540202,4332.911273123,8477,98,96,6,96.76,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsBoleslaMOB,O3,1g,51.774566894,0.18045,155.519,14,108.52575,110.69425,13280.741543169,3907.1144289,8433,99,93,6,96.26,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,O3,1g,72.122787406,4.00111,148.196,20,118.826125,118.8475,15303.146969529,6117.308002273,8503,98,96,6,97.06,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,O3,1g,51.133378095,0,151.208,15,113.847,113.847,16353.686575182,4737.96844544,8661,99,99,6,98.86,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,O3,1g,47.318676275,0,154.789,14,113.0603125,114.018575,14848.025985701,4508.038650546,8623,99,98,6,98.43,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKudowaMOB,O3,1g,50.393685973,0.02558,147.571,12,109.91595,110.641275,13751.398739836,4311.863607998,8307,99,90,6,94.82,1.11
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,O3,1g,47.429616913,-0.01,162.979,14,107.5567375,107.6388625,13812.612258802,3808.22149704,8443,97,96,5,96.38,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,O3,1g,75.047083,11.9,144.2,6,112.325,112.325,9861.7,5833.5,8759,100,100,6,99.98,1.01
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,O3,1g,39.301015047,0,132,1,85.625,85.875,3395.033898305,1105.888212221,8374,93,99,5,95.59,0.94
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,O3,1g,41.1055528,0,114.7,0,84.665819044,84.665819044,1840.462996986,912.698615902,8686,99,100,6,99.15,0.99
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclChelmMOB,O3,1g,49.765297598,0.1,149.8,3,99.3625,100.1125,5961.900817439,2448.947222222,8619,100,97,6,98.39,1.03
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,O3,1g,48.29716647,1,141,2,97,97.25,5861.946902655,2331.145960521,8470,96,97,5,96.68,0.99
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,O3,1g,49.273239113,0.4,148.3,1,98.05,99.175,7098.860254083,2633.818998016,8703,99,99,6,99.34,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,O3,1g,49.225051095,0,143,2,88.875,90.875,5325.3512786,2047.316185319,6850,63,93,2,78.19,0.68
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,O3,1g,47.99382041,0.1,138.8,5,104.3,104.3,9863.634451496,3168.350816122,8726,100,99,6,99.61,1.01
2017,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,O3,1g,50.052703478,0.51,131.18,0,103.44,103.44,8706.99353902,3089.763544536,8711,100,99,6,99.44,1.01
2017,lubelskie,PL0602,strefa lubelska,LbBiaSlupRPN,O3,1g,58.026575464,1.4,143.5,12,112.975,112.975,13162.9768,4928.732786426,8726,99,100,6,99.61,1
2017,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,O3,1g,45.578708491,0,131.5,0,93.02375,93.02375,4048.413369863,1668.003538451,8739,100,100,6,99.76,1
2017,lubelskie,PL0602,strefa lubelska,LbWilczopole,O3,1g,51.438447918,1.7,145.2,5,103.8125,103.9625,7578.995744681,3175.281441083,8622,98,99,6,98.42,1
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,O3,1g,40.786440538,0.00167,116.546,0,81.79175,85.81965,3349.321794982,1287.042837336,5655,86,43,3,64.55,2.03
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,O3,1g,46.538684579,0.43889,136.769,2,97.337675,99.8068,7753.332666667,2165.94756359,7440,84,86,4,84.93,0.98
2017,lubuskie,PL0803,strefa lubuska,LuSmolBytnic,O3,1g,49.529602299,1.42611,137.492,3,102.3194625,103.321225,8038.160338686,3170.227881626,7702,92,83,5,87.92,1.11
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,O3,1g,46.33703251,0.3693,127.43,0,90.91015,90.91015,3712.237568058,1663.494451786,8753,100,100,6,99.92,1
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,O3,1g,42.883198813,0,132.188,0,93.3396875,93.5389875,5048.950574387,1823.716628482,8654,100,98,6,98.78,1.03
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,O3,1g,50.055233684,0.01167,147.352,8,105.0598125,105.0598125,11351.991502997,3205.793458873,8577,98,98,6,97.91,1
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,O3,1g,53.31642631,1.4,161.3,16,110.4375,110.4875,10791.933147632,3846.740586735,8529,98,97,6,97.36,1.02
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,O3,1g,44.623059256,1.2,161,5,105.6875,105.6875,8825.068607825,2657.333948249,8708,100,99,6,99.4,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKonsta,O3,1g,48.723062257,1.5,160.6,9,103.0125,105.9375,8681.37915493,3144.75561096,8518,98,97,5,97.23,1.02
2017,łódzkie,PL1002,strefa łódzka,LdGajewUjWod,O3,1g,52.432263336,1.2,164.7,7,105.4,106.0625,8727.860869565,3377.831251671,8567,98,98,5,97.79,1
2017,łódzkie,PL1002,strefa łódzka,LdParzniUjWo,O3,1g,56.199975574,2,155.1,15,108.975,111.9,12209.32173913,4311.426792863,8188,94,93,4,93.47,1.01
2017,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,O3,1g,44.737072487,1,144.1,8,105.425,105.9875,9605.001643836,3180.506899351,8567,100,96,6,97.79,1.04
2017,łódzkie,PL1002,strefa łódzka,LdRadomsRoln,O3,1g,49.476778243,0.7,144.7,16,111.1125,111.5625,13519.036512262,3824.302024813,8604,99,97,6,98.21,1.02
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,O3,1g,38.078969365,0.98152,140.01,5,110.4721375,111.289875,10038.919430684,3131.240762343,8514,96,98,5,97.19,0.98
2017,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,O3,1g,47.924922456,0.98167,147.628,5,108.927875,108.927875,11586.542549862,3799.336661778,8701,99,99,6,99.32,1
2017,małopolskie,PL1203,strefa małopolska,MpKaszowLisz,O3,1g,52.727099062,1,189.129,22,118.9235,119.1835,16682.335331868,5179.732528619,8592,98,99,5,98.08,1
2017,małopolskie,PL1203,strefa małopolska,MpSzarowSpok,O3,1g,47.880492553,1,163.583,11,112.9856375,112.9856375,15130.127742936,4227.494933625,8677,99,99,6,99.05,1.01
2017,małopolskie,PL1203,strefa małopolska,MpSzymbaGorl,O3,1g,58.045727312,1.20556,136.574,4,109.2731,109.2731,11817.819249908,4588.968249999,8687,99,99,6,99.16,1.01
2017,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,O3,1g,49.479249189,0.83867,149.964,16,114.797375,114.797375,13195.612914811,3665.553860564,8684,99,99,6,99.13,1
2017,małopolskie,PL1203,strefa małopolska,MpZakopaSien,O3,1g,51.948278027,0.99944,136.219,3,107.1335,107.1335,12242.157832687,4245.194195834,8691,99,99,6,99.21,1
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarKondrat,O3,1g,37.636270614,-0.04,132.86,0,94.2675,94.2675,5304.198109091,1670.687234533,8694,100,99,6,99.24,1.02
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarPodlesn,O3,1g,42.107461698,0.2,126.2,0,96.8875,97.0125,5568.844242974,2035.363385396,8655,100,98,6,98.8,1.03
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarWokalna,O3,1g,43.125166062,0.01,143.1,1,98.47,98.47,6334.504430264,2229.694950341,8662,98,100,6,98.88,0.99
2017,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,O3,1g,43.973357689,0.72,137.35,1,87.6125,87.6125,2340.63,1103.545,8759,100,100,6,99.98,1.01
2017,mazowieckie,PL1402,miasto Płock,MzPlocMiReja,O3,1g,47.915119774,0.3,144.83,2,96.6875,96.6875,6639.340397868,2208.1962834,8734,100,100,6,99.7,1.01
2017,mazowieckie,PL1403,miasto Radom,MzRadTochter,O3,1g,44.99829103,-0.2,128.4,1,96.2875,96.2875,5014.955191257,2172.37537819,8707,100,99,6,99.39,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,O3,1g,54.081202548,1.2,140.4,7,107.8232985,108.175,9983.459778598,3827.855695456,8643,99,98,6,98.66,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzGranicaKPN,O3,1g,46.547073719,0.2,161.41,6,104.96,105.516935083,10140.169164659,3296.234843594,8627,98,99,5,98.48,0.99
2017,mazowieckie,PL1404,strefa mazowiecka,MzGutyDuCzer,O3,1g,59.669691736,2.4,179.98,10,110.7975,112.27,11673.011396648,4246.049920343,8337,97,93,6,95.17,1.05
2017,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,O3,1g,44.811556702,-0.77,157.83,5,104.285,106.58,8737.031904762,2812.683682076,8139,93,92,4,92.91,1.02
2017,mazowieckie,PL1404,strefa mazowiecka,MzLegZegrzyn,O3,1g,43.035633395,0.01,134.27,1,100.315,100.6225,6132.699364486,2110.286302856,8636,98,100,5,98.58,0.98
2017,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,O3,1g,45.546108965,0,162.51504274,15,113.535,115.052146135,15321.396482982,3765.681411115,8558,96,100,5,97.69,0.96
2017,mazowieckie,PL1404,strefa mazowiecka,MzPiasPulask,O3,1g,40.734134842,0.63,136.24955483,1,98.2125,98.2125,5207.267647059,1922.097600317,8704,99,100,6,99.36,1
2017,opolskie,PL1601,miasto Opole,OpOpoleOsAKr,O3,1g,43.657404996,0.39944,136.794,0,93.137225,93.3725,2056.5141,1678.591851665,8629,100,97,6,98.5,1.03
2017,opolskie,PL1602,strefa opolska,OpKKozBSmial,O3,1g,45.905169414,0.20722,173.154,12,110.525125,114.0115,11658.728018182,3893.575608093,7921,94,87,5,90.42,1.08
2017,opolskie,PL1602,strefa opolska,OpOlesSlowac,O3,1g,49.86418867,0.555,141.734,5,109.2155,111.77525,10960.62199818,3674.019412818,8225,100,88,6,93.89,1.14
2017,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,O3,1g,49.365935465,0.29175,149.908,7,108.5243125,108.5243125,10411.287641682,3680.980449968,8728,100,100,6,99.63,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkJasloSikor,O3,1g,49.453465411,0.04271,151.132,6,107.861875,107.9896375,10769.964113661,4601.015636,8555,99,96,6,97.65,1.04
2017,podkarpackie,PL1802,strefa podkarpacka,PkKrempnaMPN,O3,1g,56.568078036,0.16158,138.59,4,108.695875,108.8255,11705.728631423,4928.276708876,8635,99,99,6,98.57,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkMielBierna,O3,1g,51.037976473,0.06556,159.423,13,111.355875,111.355875,12807.082892812,4128.647397724,8704,99,100,6,99.36,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkNiskoSzkla,O3,1g,50.610980169,0.10349,146.31,13,112.1387125,112.3675125,14951.409494118,4968.414198117,8621,99,98,6,98.41,1.01
2017,podkarpackie,PL1802,strefa podkarpacka,PkPrzemGrunw,O3,1g,54.122247868,0.17541,153.478,18,116.13275,116.466875,16115.827348693,5536.489508109,8555,96,100,5,97.65,0.96
2017,podlaskie,PL2001,Aglomeracja Białostocka,PdBialPulPie,O3,1g,50.413182674,0,138,2,99.333333333,100.5,7940.3866171,2767.433105687,7965,97,85,5,90.92,1.14
2017,podlaskie,PL2002,strefa podlaska,PdAugustoZdrMOB,O3,1g,41.34676984,0,113,0,80.625,84.75,2564.871741397,1125.983436853,5557,92,99,4,63.43,1.53
2017,podlaskie,PL2002,strefa podlaska,PdBorsukowiz,O3,1g,49.141005451,0,133,2,100.25,100.375,7628.936170213,2799.798736211,8255,97,92,6,94.23,1.06
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaLeczk08,O3,1g,52.844941544,1.49,133.683,3,90.6125,92.0666125,4565.664998365,2399.112207379,7657,98,77,5,87.4,1.29
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaOstrz05,O3,1g,44.188489132,0.1494,145.931,0,79.40685,81.791466667,1348.562825054,873.177463273,7784,79,99,1,88.85,0.81
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyPoreb04,O3,1g,53.970521042,0.0662,126.456,0,92.5723875,94.1820625,4043.090238838,2373.123064542,8583,100,96,6,97.97,1.04
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdySzaf09N,O3,1g,50.717698832,0.6545,130.231,1,87.756175,87.829175,3507.391770599,1521.460164173,8474,99,94,6,96.73,1.06
2017,pomorskie,PL2202,strefa pomorska,PmKosTargo12,O3,1g,39.94887124,0.05511,99.0629,0,67.6221875,68.843125,189.621617423,153.100056973,7276,98,68,6,83.05,1.43
2017,pomorskie,PL2202,strefa pomorska,PmLebaRabkaE,O3,1g,61.062985934,5.1344,149.153,2,95.4890625,95.4890625,5899.458612511,2851.774305357,8756,100,100,6,99.95,1.01
2017,pomorskie,PL2202,strefa pomorska,PmLebMalcz16,O3,1g,44.355668576,0.30398,111.4,0,77.78625,77.9186875,871.411552941,564.335098558,8162,99,87,6,93.17,1.14
2017,pomorskie,PL2202,strefa pomorska,PmLinieKos17,O3,1g,60.07298313,3.33034,135.338,2,96.6641625,97.1343625,6353.546702868,2968.633045701,8359,97,94,5,95.42,1.03
2017,pomorskie,PL2202,strefa pomorska,PmMalMicki15,O3,1g,43.866683983,0.05387,111.674,0,71.2993875,72.264025,141.469277162,267.184915551,8207,90,98,4,93.68,0.92
2017,pomorskie,PL2202,strefa pomorska,PmSlupKniazi,O3,1g,50.252055442,1.05,142.292,2,89.347775,90.06965,4232.718813187,1806.434887873,8128,99,86,6,92.78,1.16
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlDabro1000L,O3,1g,45.099785575,0.98678,163.615,29,121.179475,121.179475,15779.082193829,4407.532786904,8749,100,100,6,99.87,1.01
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlKatoKossut,O3,1g,44.557074369,0.92889,184.243,32,127.09575,127.267375,20135.200290909,4868.670778968,8601,97,99,5,98.18,0.99
2017,śląskie,PL2401,Aglomeracja Górnośląska,SlZabSkloCur,O3,1g,45.651302057,1.17333,181.541,25,119.72025,120.51165,16564.326870677,4416.186105854,8660,98,100,5,98.85,0.98
2017,śląskie,PL2402,Aglomeracja Rybnicko-Jastrzębska,SlRybniBorki,O3,1g,45.01815662,0.98167,170.333,17,117.446571429,117.446571429,14204.145060822,3899.618264227,8731,99,100,6,99.66,1
2017,śląskie,PL2403,miasto Bielsko-Biała,SlBielKossak,O3,1g,54.227277057,1.94056,153.485,15,112.891,112.891,14477.581602904,4464.3593625,8751,100,100,6,99.89,1
2017,śląskie,PL2404,miasto Częstochowa,SlCzestoBacz,O3,1g,50.063644734,0.75778,161.766,21,116.65775,117.831375,14019.496660935,4121.354910405,8456,97,96,4,96.52,1.01
2017,śląskie,PL2405,strefa śląska,SlCiesMickie,O3,1g,57.906783457,2.10056,162.102,19,116.14625,116.30975,15957.141143911,4968.330664045,8676,99,99,6,99.04,1.01
2017,śląskie,PL2405,strefa śląska,SlUstronSana,O3,1g,58.597890463,0.97589,151.26,18,116.51775,116.51775,14321.1718,4819.500282738,8749,100,100,6,99.87,1.01
2017,śląskie,PL2405,strefa śląska,SlWodzGalczy,O3,1g,48.117013629,0.92444,186.481,23,119.863125,119.863125,15490.68243049,4431.456937838,8685,100,99,6,99.14,1.02
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,O3,1g,59.037208469,2.68885,172.681,25,118.788125,121.819625,15885.323921455,5308.74375213,8666,99,99,6,98.92,1.01
2017,świętokrzyskie,PL2601,miasto Kielce,SkKielJagiel,O3,1g,44.978215527,0,158,5,105.25,105.25,8918.012832264,2888.375648444,8630,99,98,6,98.51,1.02
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkNowiParkow,O3,1g,49.600495324,0.4,167,18,115.575,115.8375,14427.245255474,4679.705798986,8661,99,98,6,98.86,1.02
2017,świętokrzyskie,PL2602,strefa świętokrzyska,SkPolaRuszcz,O3,1g,53.135654762,0.1,152.3,13,112.3,112.6125,12584.892955169,4170.193706756,8568,98,98,5,97.8,1
2017,warmińsko-mazurskie,PL2801,miasto Olsztyn,WmOlsPuszkin,O3,1g,45.0280706,0.08111,121.129,0,83.66535,83.844525,1098.951053542,1026.800420094,8606,98,98,6,98.24,1.01
2017,warmińsko-mazurskie,PL2802,miasto Elbląg,WmElbBazynsk,O3,1g,48.860669115,0.485,133.219,0,92.7677125,92.7677125,5119.442360512,2008.695403888,8705,99,99,6,99.37,1.01
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmElkStadion,O3,1g,52.054336456,0,125.34,0,97.2209375,97.2209375,7431.554522182,2418.19295,8744,100,100,6,99.81,1.01
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmGoldJacwie,O3,1g,51.227835827,0,116.531,0,86.48155,86.5678375,2184.7804,1243.553850831,8611,100,97,6,98.29,1.04
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmOstrPilsud,O3,1g,47.804964109,0,124.102,0,93.64715,94.9761875,4541.967148837,1858.583223038,8180,95,91,5,93.37,1.05
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,O3,1g,52.219558391,1,130.467,1,93.59315,94.0790125,4527.754687293,2098.484203427,8420,98,95,6,96.11,1.04
2017,wielkopolskie,PL3001,Aglomeracja Poznańska,WpPoznDabrow,O3,1g,42.656052032,0.12722,135.697,2,98.4754875,98.4754875,6499.427639015,2139.813848584,8731,99,100,6,99.66,1
2017,wielkopolskie,PL3002,miasto Kalisz,WpKaliSawick,O3,1g,53.461516976,0.15278,161.635,12,111.679625,112.125775,13128.676551499,4325.786063333,8449,97,96,5,96.44,1.02
2017,wielkopolskie,PL3003,strefa wielkopolska,WpBoroDrapal,O3,1g,46.991820749,0.03641,134.051,3,96.9919375,98.26615,6999.7999,2486.017680173,8638,99,98,6,98.6,1.02
2017,wielkopolskie,PL3003,strefa wielkopolska,WpKoniWyszyn,O3,1g,52.840892529,0.53442,171.846,8,102.6295125,103.0311125,6855.385175,3416.768665598,8467,93,100,5,96.65,0.94
2017,wielkopolskie,PL3003,strefa wielkopolska,WpPiaskiKrzy,O3,1g,51.134062159,0.14865,153.18,5,105.7455875,106.03575,9061.269543376,3429.498030401,8593,99,97,6,98.09,1.03
2017,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczAndr01,O3,1g,44.533532185,0.06553,145.296,0,84.4733375,84.4733375,2279.536695463,995.956719977,8734,100,100,6,99.7,1.01
2017,zachodniopomorskie,PL3203,strefa zachodniopomorska,ZpWiduBulRyb,O3,1g,52.586660401,0.40996,134.647,2,96.34485,96.34485,5715.706741198,2506.863217163,8725,100,99,6,99.6,1.01
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocBartni,O3,1g,57.222481913,0.25056,191.806,55,134.837875,134.837875,28420.345298361,7906.160449273,8702,99,99,6,99.33,1
2018,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,O3,1g,51.119951925,0,177.94,33,123.176375,124.1195,21639.806242623,5780.911271826,8509,95,99,5,97.13,0.96
2018,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,O3,1g,50.027897617,0,176.678,29,122.398875,122.518428571,21041.548337349,5697.058023818,8585,97,99,6,98,0.98
2018,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,O3,1g,59.251590461,0.11667,175.634,36,126.342,126.683428571,26351.522781818,7486.069620523,8463,97,96,5,96.6,1.02
2018,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,O3,1g,80.040203135,2.11778,176.427,63,133.60975,135.212428571,25458.571906399,8975.497207685,8589,99,97,6,98.04,1.02
2018,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,O3,1g,58.282664599,0,179.183,52,130.580875,130.580875,27680.40833546,7660.275120967,8694,99,99,6,99.24,1
2018,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,O3,1g,53.270406989,0,169.887,37,128.6795,128.7935,22224.266657923,7107.576471118,8616,99,98,6,98.35,1.02
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLadekMOB,O3,1g,64.847709796,1.97831,164.844,36,122.098,123.029,21163.037443796,7504.405272512,8282,99,90,6,94.54,1.11
2018,dolnośląskie,PL0204,strefa dolnośląska,DsLubanMOB,O3,1g,54.917542602,0,190.134,38,125.774375,127.379125,23487.975097623,7174.379567715,7918,99,81,6,90.38,1.23
2018,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,O3,1g,52.46820864,0,198.05,47,129.576375,131.005625,26387.57439116,6877.804089751,8613,98,98,6,98.32,1.01
2018,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,O3,1g,80.328006401,0.2,165.4,34,125.975,125.975,17899.226134301,8390.380357143,8748,100,100,6,99.86,1
2018,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,O3,1g,40.386551562,0,142,6,103.5,104.325,9391.686781029,2874.1614205,8514,95,100,4,97.19,0.95
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,O3,1g,48.78524495,0,169.7,19,112.5,113.95,19090.245801527,4548.297644057,8614,97,99,5,98.33,0.98
2018,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruStorczMOB,O3,1g,49.921624007,0,174.1,22,115.4,117.7125,18125.343065693,5477.260321101,7931,90,91,5,90.53,0.99
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,O3,1g,50.96843449,0,163,16,116.375,116.625,15229.976342129,4873.904695583,8617,100,97,6,98.36,1.03
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,O3,1g,52.501916972,0.4,160.1,19,112.4,113.85,15441.774789916,4834.930863539,8190,98,89,6,93.49,1.1
2018,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,O3,1g,55.62095285,0,172,17,116.875,118,17683.714285714,5516.299276447,8123,96,90,4,92.72,1.07
2018,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,O3,1g,48.847039474,0,169.6,7,110.35,110.4125,12327.290358127,4202.602853391,8512,97,97,5,97.16,1.01
2018,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,O3,1g,52.289404363,0.26,176.12,14,113.13125,113.8025,15135.409610154,4765.193226688,8663,100,98,6,98.89,1.02
2018,lubelskie,PL0602,strefa lubelska,LbFlorianRPN,O3,1g,54.897337665,1.9551,168.15855,13,114.01674375,115.16386875,14333.721774545,5419.330711721,7884,100,80,6,90,1.25
2018,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,O3,1g,53.168852339,0.2,158.5,6,110.4875,110.4875,12359.595285585,4535.21118654,8743,100,100,6,99.8,1
2018,lubelskie,PL0602,strefa lubelska,LbWilczopole,O3,1g,55.536488081,0.4,171.2,15,115.275,115.95,14326.689282386,5098.491380197,8474,99,95,6,96.73,1.04
2018,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,O3,1g,44.428851389,-0.00056,167.973,10,105.13875,105.90585,11827.772057831,3176.803077239,8109,86,99,4,92.56,0.87
