SOUID,DATE,PP,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
107333,2017,10145.693989071038,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107333,2018,10161.704918032787,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107333,2019,10136.918032786885,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107333,2020,10149.273224043716,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107333,2021,10147.95081967213,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107334,2017,10140.863387978143,332,LEBA,PL,+54:45:13,+017:32:05,2, PP2,1961-08-02,2022-09-30,26,Miroslaw Mietus
107334,2018,10161.311475409837,332,LEBA,PL,+54:45:13,+017:32:05,2, PP2,1961-08-02,2022-09-30,26,Miroslaw Mietus
107334,2019,10133.409836065573,332,LEBA,PL,+54:45:13,+017:32:05,2, PP2,1961-08-02,2022-09-30,26,Miroslaw Mietus
107334,2020,10144.74863387978,332,LEBA,PL,+54:45:13,+017:32:05,2, PP2,1961-08-02,2022-09-30,26,Miroslaw Mietus
107334,2021,10143.448087431694,332,LEBA,PL,+54:45:13,+017:32:05,2, PP2,1961-08-02,2022-09-30,26,Miroslaw Mietus
107335,2017,10140.88524590164,205,HEL,PL,+54:36:13,+018:48:43,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107335,2018,10162.72131147541,205,HEL,PL,+54:36:13,+018:48:43,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107335,2019,10135.333333333334,205,HEL,PL,+54:36:13,+018:48:43,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107335,2020,10147.475409836066,205,HEL,PL,+54:36:13,+018:48:43,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107335,2021,10145.125683060109,205,HEL,PL,+54:36:13,+018:48:43,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107336,2017,10145.622950819672,396,ELBLAG,PL,+54:13:24,+019:32:37,189, PP2,1961-01-02,2022-09-30,26,Miroslaw Mietus
107336,2018,10168.464480874318,396,ELBLAG,PL,+54:13:24,+019:32:37,189, PP2,1961-01-02,2022-09-30,26,Miroslaw Mietus
107336,2019,10143.606557377048,396,ELBLAG,PL,+54:13:24,+019:32:37,189, PP2,1961-01-02,2022-09-30,26,Miroslaw Mietus
107336,2020,10155.63387978142,396,ELBLAG,PL,+54:13:24,+019:32:37,189, PP2,1961-01-02,2022-09-30,26,Miroslaw Mietus
107336,2021,10151.502732240437,396,ELBLAG,PL,+54:13:24,+019:32:37,189, PP2,1961-01-02,2022-09-30,26,Miroslaw Mietus
107338,2017,10147.527472527472,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107338,2018,10161.729281767955,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107338,2019,10137.196721311475,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107338,2020,10149.032786885246,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107338,2021,10148.928961748634,696,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107339,2017,10151.77049180328,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107339,2018,10162.191256830602,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107339,2019,10140.25136612022,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107339,2020,10152.814207650274,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107339,2021,10151.84699453552,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
107340,2017,10149.628415300547,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107340,2018,10165.732240437159,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107340,2019,10142.289617486338,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107340,2020,10155.579234972678,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107340,2021,10152.863387978143,2026,CHOJNICE,PL,+53:42:55,+017:31:57,164, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107341,2017,10152.409836065573,2027,TORUN,PL,+53:02:31,+018:35:44,69, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107341,2018,10166.180327868853,2027,TORUN,PL,+53:02:31,+018:35:44,69, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107341,2019,10144.371584699453,2027,TORUN,PL,+53:02:31,+018:35:44,69, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107341,2020,10158.103825136612,2027,TORUN,PL,+53:02:31,+018:35:44,69, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107341,2021,10153.262295081968,2027,TORUN,PL,+53:02:31,+018:35:44,69, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107342,2017,10152.185792349726,2028,MLAWA,PL,+53:06:15,+020:21:40,147, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107342,2018,10168.338797814207,2028,MLAWA,PL,+53:06:15,+020:21:40,147, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107342,2019,10145.639344262296,2028,MLAWA,PL,+53:06:15,+020:21:40,147, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107342,2020,10159.84699453552,2028,MLAWA,PL,+53:06:15,+020:21:40,147, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107342,2021,10154.622950819672,2028,MLAWA,PL,+53:06:15,+020:21:40,147, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107343,2017,10146.371584699453,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107343,2018,10167.262295081968,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107343,2019,10142.732240437159,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107343,2020,10155.51912568306,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107343,2021,10151.185792349726,752,OLSZTYN,PL,+53:46:07,+020:25:17,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107344,2017,10151.601092896175,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107344,2018,10170.63387978142,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107344,2019,10148.584699453551,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107344,2020,10161.612021857924,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107344,2021,10155.508196721312,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107345,2017,10155.174863387978,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107345,2018,10163.497267759563,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107345,2019,10144.524590163934,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107345,2020,10158.174863387978,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107345,2021,10156.11475409836,2029,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2017,10158.884615384615,779,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2017,10158.884615384615,4108,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2018,10163.79781420765,779,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2018,10163.79781420765,4108,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2019,10145.830601092895,779,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2019,10145.830601092895,4108,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2020,10159.48087431694,779,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2020,10159.48087431694,4108,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2021,10157.901639344262,779,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107346,2021,10157.901639344262,4108,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2017,10158.31693989071,206,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2017,10158.31693989071,25140,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2018,10164.718085106382,206,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2018,10164.718085106382,25140,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2019,10145.92349726776,206,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2019,10145.92349726776,25140,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2020,10159.659574468085,206,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2020,10159.659574468085,25140,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2021,10157.22950819672,206,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107347,2021,10157.22950819672,25140,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107348,2017,10156.016393442624,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107348,2018,10168.51912568306,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107348,2019,10149.322404371585,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107348,2020,10163.939890710382,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107348,2021,10158.092896174863,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107349,2017,10155.75956284153,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2018,10170.726775956284,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2019,10151.31693989071,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2020,10165.75956284153,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107349,2021,10159.464480874318,333,SIEDLCE,PL,+52:10:52,+022:14:41,152, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107350,2017,10156.551912568306,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2018,10171.83606557377,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2019,10152.77049180328,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2020,10167.005464480875,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107350,2021,10160.142076502732,922,TERESPOL,PL,+52:04:43,+023:37:19,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2017,10162.185792349726,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2018,10165.437158469946,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2019,10148.27868852459,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2020,10162.573770491803,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107351,2021,10160.513661202185,2031,ZIELONA GORA,PL,+51:55:48,+015:31:29,192, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2017,10163.120218579235,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2018,10166.07650273224,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2019,10149.472527472528,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2020,10163.530054644809,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107352,2021,10160.661202185793,923,LESZNO,PL,+51:50:08,+016:32:05,91, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2017,10166.628415300547,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2018,10167.349726775956,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2019,10151.754098360656,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2020,10167.120218579235,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107353,2021,10164.207650273223,210,WROCLAW,PL,+51:06:12,+016:54:00,120, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107354,2017,10164.094444444445,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2018,10168.573770491803,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2019,10151.688524590163,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2020,10167.207650273223,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107354,2021,10164.22950819672,924,WIELUN,PL,+51:12:37,+018:33:24,199, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
107355,2017,10163.207650273223,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2018,10170.540983606557,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2019,10152.284153005465,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2020,10168.508196721312,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107355,2021,10163.464480874318,926,SULEJOW,PL,+51:21:12,+019:51:59,188, PP2,1966-01-06,2022-09-30,26,Miroslaw Mietus
107356,2017,10159.486338797815,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2018,10172.262295081968,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2019,10154.300546448087,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2020,10169.169398907105,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107356,2021,10162.010928961749,927,WLODAWA,PL,+51:33:12,+023:31:46,177, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2017,10175.92349726776,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2018,10173.868852459016,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2019,10161.36612021858,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2020,10177.628415300547,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107357,2021,10173.737704918032,2036,KLODZKO,PL,+50:26:13,+016:36:51,356, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2017,10173.538461538461,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2018,10172.4043715847,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2019,10159.36612021858,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2020,10175.95081967213,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107358,2021,10171.224043715847,928,RACIBORZ,PL,+50:03:40,+018:11:27,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2017,10167.08743169399,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2018,10172.92349726776,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2019,10158.213114754099,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2020,10174.371584699453,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107361,2021,10168.77049180328,2038,KIELCE,PL,+50:48:38,+020:41:32,260, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2017,10168.765027322404,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2018,10173.715846994535,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2019,10160.174863387978,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2020,10176.060109289618,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107362,2021,10169.672131147541,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2017,10174.169398907105,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2018,10173.344262295082,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2019,10160.672131147541,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2020,10178.213114754099,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107363,2021,10173.207650273223,930,BIELSKO-BIALA,PL,+49:48:26,+019:00:01,396, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2017,10174.34065934066,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2018,10175.34065934066,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2019,10160.698324022347,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2020,10178.598901098901,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107364,2021,10173.601092896175,932,NOWY SACZ,PL,+49:37:38,+020:41:19,292, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2017,10175.349726775956,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2018,10177.579234972678,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2019,10165.109289617487,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2020,10179.289617486338,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
107365,2021,10172.939890710382,933,LESKO,PL,+49:27:59,+022:20:30,420, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2017,10172.95081967213,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2018,10171.814207650274,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
239995,2019,10158.245901639344,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
